chinese,english,unsloth/Qwen2-0.5B-Instruct-bnb-4bit,unsloth/Qwen2-0.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit,unsloth/Qwen2-1.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-0.5B-Instruct,unsloth/Qwen2-0.5B-Instruct(finetuned),unsloth/Qwen2-1.5B-Instruct,unsloth/Qwen2-1.5B-Instruct(finetuned)
那是百分之百的天然橡胶。,They were made of 100 percent natural rubber.,That is pure natural rubber.,It was天然橡胶，百分之一也不够。,It's 100% natural rubber.,It was 100 percent natural rubber.,That is 100% natural rubber.,It was made from natural橡胶。,That's 100% natural rubber.,It was hundred percent natural rubber.
这刘老老方安顿了，便说道：“我今日带了你侄儿，不为别的，因他爹娘连吃的没有，天气又冷，只得带了你侄儿奔了你老来。”,"Having all this while had time to collect herself, Grannie Liu began her speech again: 'The real reason I have brought your little nephew here today is because his Pa and Ma haven't anything in the house to eat, and the weather is getting colder, and – and – I thought I'd bring him here to see you...'","This is what Liu Ge, who was taking care of his nephew, said: ""I brought you a son yesterday; I didn't bring him other than that, because he doesn't have anything for his father and mother, and the weather is very cold today, so he had to take you to be with me when I go to see my old man.""","Curious! ' said Grannie Liu when she had spoken of her next-of-kin to be安置下安葬: 'I've brought my nephew so that he can have something to eat, and it's not that his father has died of illness; he just happens to have come because there's been no food for some time and it's getting cold.","Liu Old Master was settled, so he said: ""I brought my nephew with me today, not for anything other than the fact that his parents have no food, it is cold out, so I brought him here.""","Once more Grannie Liu found herself wondering if she had offended her. 'Today,' she began to say, 'I've brought my nephew to see you. I haven't come here in order to ask about your meal today. The weather is getting very cold and my father and mother don't have enough to eat. They've brought us here only because they're worried about me.'","This is how Liu Tao took care of his son, without any other reason, because he did not have enough food for his parents. The weather was cold and they had to bring him along with him as well.","There's no need for you to stay, old fellow,' said Grannie Liu: ''It is because my son has not had a meal and the weather is cold that I'm bringing him with me. He will get enough from his father's kitchen, though,' she continued, looking to her watch-moment as she spoke. 'If he were brought in straight, he would run the risk of getting sick.'","Liu's old man is settled down. He said, ""I brought your nephew today not for any other reason but because his parents don't have anything to eat. It's cold outside too so I brought him here.""","Grannie Liu took leave of him and set about preparing her travelling companion's lunch. 'I've come here purely for the sake of my nephew,' she said. 'His parents can't afford anything to eat. It's getting cold too.'"
只见她脸颊雪白，没半分血色，长长的睫毛不住颤动，想是心中十分害怕，笑道：“你不用怕，我不会杀了你的。,"From the snowy pallor of her cheeks, drained of all their colour, and the fluttering of her long eyelashes, he could tell that she was very frightened. 'Don't be afraid,' he said. 'I'm not going to kill you.","She is pale with white cheeks and no blood on her face. The long lashes twitched as if she were afraid of something. ""Don't be afraid, I won't kill you,"" she said.","Her face was filled with snowballing whitiness; her eyes, those of a paragon for beauty, were too close to close; and her long eyelids began to flutter. 'You don't need to worry about me, sir. I won't杀头。","The girl's cheeks were white as snow, there was not a hint of color on her face, her long lashes quivered constantly, she seemed very afraid. She said with a smile, ""Don't be afraid. I won't kill you.""","Her cheeks were fair as a sheet, free of blood; her long eyelashes were winy. She was clearly very frightened. 'Don't worry! I wouldn't dream of killing you.","Seeing her cheeks snow-white, there is no trace of blood on her face. The long eyelashes were twitching constantly, hoping she was scared. ""Don't be afraid, I won't kill you.""","She, naturally, had not enough blood in her body to be scared; but she was wearing a fearful expression on her face and long straight hairs quivering at her touch which she retaliated against with a charming smile: 'No fear! I won't do it to you.'","She was pale as snow with no hint of blood on her cheeks. Her long eyelashes were quivering constantly. She must be very afraid. ""Don't worry,"" she said cheerfully.","His next victim was a rather fair-skinned girl, whose cheeks were now free of blood, and her long eyelashes seemed to be trembling with fright. She spoke while her body trembled and shivered. 'You don't have to worry about me. I'm not going to kill you."
但是当初调她来，分明有修理一下的意思。,But it was clear from the start the military deputy just wanted to make trouble for her.,But it was clear that she was coming because of some kind of repair.,"But, when they originally picked her for the job, they didn't really have a good thought about her.",But she was brought in for repair originally.,"However, back when they had hired her, they must have wanted to fix her up somehow.",But clearly she was repairing her.,"But when they originally picked her for the job, they didn't really have a good thought about her.",But it was clear that she had been brought in for repairs originally.,"However, back when they'd hired her, I sensed that she had been brought in to be repaired."
你身上中的毒，旁人没解药，我终究是有的。 小娃娃，你到底是受了谁的指使，想这计策来弄瞎我眼睛？,"Now then, no one else has an antidote for this poison but me, so why don't you be a good little boy and tell me who you are working for? Who was it that put you up to blinding me?","The poison you're carrying is on your body; there's no cure for it among the others. I'm the one who's got this plot, so that's what I have!","I had to make up for you by resorting to funny stuff. Well, last time I was抽检不合格, it must have been someone else's. So I've got you the solution, Miss! But who is your target? Who gave you the idea?'","The poison on your body is one I have. A child, who was it that ordered you? To make my eyes blind with this plan?","Well now, if you're one of those unlucky souls who's had the毒药 injected into them without any antidote available … Well, let me tell you this, young man: I've got a greater certainty as to who's been behind all this than you do. Who, then, is the principal behind all this? And who was the principal behind making you think you needed seeing blind?","The poison inside your body is mine, and no one can help me. The little boy, what did you do to me? You have got me here by myself, right?","I've done my share. The people around you haven't had any medicine, so I've had to get some help myself. The boy's your son. Where did you think of thinking of me because you thought of trying to mend the sight in my eyes with this little plot?","The poison on your body is something I have. A child, what master has ordered you to plot against me?","Now that there's such a heavy spell on you, other people can see it's impossible, but there's certainly something behind all this which I can undo. What was it your master wanted you to do?"
一家四口，以务农为业。 因狗儿白日间自作些生计，刘氏又操井臼等事，青板姊弟两个无人照管，狗儿遂将岳母刘老老接来，一处过活。,"The four of them depended on agriculture for their living, and since, with Gou-er himself busy most of the day on the land and his wife busy about the farm drawing water, pounding grain, and the like, there was no one to look after Qing-er and her little brother, Gou-er invited his mother-in-law, old Grannie Liu, to come and live with them.","A family of four, who have been farming. For a while, their father had been managing the wellhouse work for his own interests. Their youngest daughter, Qingbao, was left in charge of the two sisters who were not taking care of them when they were out during the day. The dog then took the place of the elder sister, Tiaowu, who was unable to take care of her.","FAMILY AND FRIENDS: THE THOUSAND TROUBLELEYS OF GOD-ERFCENT IS WORKING AS A AGGREGATE FOR HOMELIFE. Because his activities with dogs during the day time were not well received by his grandparents, it was now decided that dog-days should be used as an means of livelihood for the family; yet there was no one among the girls who could look after Grannie Liu's affairs. So it was that dog-day had been transformed into a set of chores for the entire family, and thus Granddad's wife had been able to find ways to get about among them, even masquerading occasionally as workaday.","A family of four. They make a living by farming. Because the dog is making some money during the day, Liu's wife also does household chores. The two young girls have no one to look after them. So the dog has taken his mother-in-law Liu Old Mother from her son's home and they all live together now.","This was of old a family of two generations: Father, Mother, and twins Brother and Sister Yu. Because Gou-er had the ability to earn a living as a single man in the day-time and Grandma Liu was occupied with well-watering the fields in the evening, it was decided that she should be taken in by Grandmother Er and given a share of their income.","A family of four, with a career as farmers. For their own business, Tuan and his wife took on household chores such as digging wells and managing the yard tools. Qianbiao's two sisters were left alone when Tuan had to take care of her mother, Caiyue. Tuan brought Qianbiao over from day to night.","For four generations now this was the course of events: Yen-er, who laboured away in his time, employed himself in making a living, while Nannie and Tian-pat were looked after by two sisters called Qing-bao – no one of their own age could look after them properly, so dog-go had confided the responsibilities in the hands of its little brother Yu-cage and who spent his days making money together with his sister.","A family of four. They were farmers by occupation. Because the dog would make some money during the day, Liu's wife also had to do chores such as grinding rice and washing clothes. The two younger sisters couldn't take care of the dog because they didn't have anyone to look after them. So the dog brought his old mother to live with him.","The four of them—father, mother, brother Gou-er, and grandma—made a living from farming. Because day-after-day he found some way to waste time and energy (white-coloured bridle-bits had been the work of one such), Old Gou-trinked, taking advantage of the fact that the old woman's skills were more than sufficient to keep two young sisters busy with no one to look after them, brought her in to share their motherhood and livelihood."
又见三两个妇人，都捧着大红油漆盒进这边来等候。,Then two or three women bearing large red lacquer boxes took up their positions on the side nearest the room in which she sat and stood there waiting to be called.,"And again we see two women who each carry a red wooden box on their heads, coming here to wait for us.",To his dismay Old Colours had two female servants waiting outside for him.,"Two or three women appeared again, all carrying large red lacquer boxes.","As they waited, two or three women arrived on the scene, each of them carrying a large, coloured-atthe-edge box.","Another pair of women come here, each holding a red oil can box.","To his dismay Newgate Green hosted already a number of governesses, all of them clad in red cosmetics, who marched in at the rear and簇拥着韦小宝这个乳母向这边前来等待他。",Two or three women come in with large red lacquer boxes.,"Two or three old women were also hustling in from the side entrance, each of them carrying a big-red box."
她的好看突出了吴佩珍的丑，她的精细突出了吴佩珍的粗疏，她的慷慨突出的是吴佩珍的受恩，使吴佩珍负了债。,Her beauty highlighted Wu Peizhen's unattractive appearance; her meticulousness highlighted Wu Peizhen's lack of care; her magnanimity highlighted Wu Peizhen's indebtedness.,"The beauty that she showed was a highlight of Jin Pingjing’s badness, her detail was a highlight of her sloppiness, and her generosity was a highlight of her indebtedness, which made her pay for what she had done.",Her good look凸显得吴佩珍的丑，精细活儿凸现了她那粗鄙的性格，慷慨激昂彰显了她对王琦瑶的馈赠，使她偿起了欠下的账。,"Her beauty emphasized Wu Peizhen’s ugliness, her neatness his sloppiness, her generosity her indebtedness, which made Wu Peizhen a debt-bearer.","Her beauty stood out against Wu Peizhen's ugly face, her refinement vs. Wu Peizhen's crudity, her generosity vs. Wu Peizhen's meekness—all of which she had endowed Wu Peizhen with—these made Wang Qiyao owe money to Wu Peizhen and make Wu Peizhen feel guilty.","The attractive aspect of her is what makes her appear as a scoundrel, her meticulousness highlights her rudeness, her generosity highlights her debt.","Her beauty accounted for Wang Qiyao's ugliness, her sophistication for her folly, and her generosity for her debt—a picture of偿还的恩典。","Her beauty highlights Wu Peizhen’s ugliness; her exquisite makes Wu Peizhen’s slovenliness obvious; her generosity reveals Wu Peizhen’s indebtedness, making Wu Peizhen liable for debt.",Her beauty highlighted Wu Peizhen's ugliness; her refinement highlighted Wu Peizhen's crudity; her generosity highlighted Wu Peizhan's debt.
周瑞家的认了半日，方笑道：“刘老老，你好?,"Zhou Rui's wife scrutinized her questioningly for some moments before finally recognizing her. 'Why, it's Grannie Liu! How are you?","The day before yesterday, Zhou Ruji said hello to Liu Geo. ""How are you, old man?""",At last Zhou Rui's wife recognised him: it was the old Mr. Tan from whom she had heard good things and had followed his advice to come for a visit.,"Zhou Ruye smiled half-heartedly, ""Mr Liu, how are you?""","Zhou Rui's wife made a show of being polite. 'Old赵, how are you?","Zhou Rui said hello to Cao Old Man again. ""Tao old man, how are you?""",vieille Grannie Liu! How do you do it?,"Wang Rui’s said with a smile, ""Mr Liu, how are you?""","Zhou Rui's wife nodded ponderously and laughed as she identified them: 'Mr Liu, how are you?"
余司令问。,Commander Yu asked him.,The general asked.,Commander Yu.,General asked.,Commander Yu asked.,Commander Li asked.,Commander Yu.,General Yu asked.,Commander Yu asked.
说着便同士隐复过这边书院中来了。,And he accompanied Shi-yin back to the study next door.,"I am now at the College of this side, as if I had gone there before.","So saying, he took off with Gorakh and trooped round to his home in the town of Shangzhou.","And he spoke again, passing by the nearby schoolhouse.",She led him through the grounds to the other half of the university.,"As he spoke, he also came over here from the Confession Hall.","So saying, Trinket and Sun followed him again to the college.","He said, ""Let us go over here to the courtyard of this school.""","She therefore led him round to the other side of the campus, and through the students' lodge."
总舵主一言不发的听完，点头道：“原来如此。,"The Helmsman listened to all that Trinket had to say without making a single interruption. When at last Trinket had finished, he nodded. 'I see.","The general master just sat there and nodded his head, saying ""That's all.""","The Helmsman did not say a word but nodded at them,同意了他的推测。",The Chief Marshal did not speak a word but nodded his head.,"The Helmsman gave a little shake of his head, expressing no opinion on the matter. 'I see.","The captain never spoke but nodded his head, saying ""That's what I heard.""",The Helmsman's word was a word and he nodded.,The leader of the main fleet nodded silently after listening to him.,The Helmsman gave a little nod. 'I see.
我抬举起你来，这会子我来了，你大模厮样儿的躺在炕上，见了我也不理一理儿。,"After all I've done for you – and now when I come to call on you, you lie back there on the kang like a young madam and haven't even the grace to look up and take notice of me! You and your airs and graces!","I raised you up to me, that's what I'll do, you're looking like a fool sitting on the炕. You don't seem to care about me at all.",Now I'm coming over. Let's hope you don't shrink from seeing me as I am sitting on the kang—no attention at all.,"I lift you up, now I'm here, you lay there on the bed, not even look at me.","I could lift you over my shoulder any old minute, and yet this way you lay on the kang: no consideration for me at all!","I raised you up, it's now my turn, but I don't want you to be here. You look so small and uninterested.","Very well, then, big brother. I'll come over now. When you lay there lying like that holding your blanket out for me, I had no idea you had gotten here.","I lifted you up; now I'm here, lying on your back with my face toward you, not even acknowledging me.","When I raised you on my shoulders just now, you stood there backtedded up, looking nice and proud, not even acknowledging me!"
“高考？”,'The exam?',The exam?,College exams?',"College Entrance Examination?""",The college entrance exam?',The exam?,College Entrance Exam?',"College Entrance Examination?""",The高考?'
天也晚了，不虚留你们了，到家该问好的都问个好儿罢。”,"It's late now, so I won't try to keep you. Give our regards to everybody who ought to be remembered when you get back!'","The night was coming too late, so we should not waste your time; when you come home, I would like to ask for good things from everyone who is there.""","The day has really passed, however, doesn't it? In your next visit to the village you should ask them for their good work and express your gratitude.'","The sun is setting early, so I won’t stay for a while. Just tell me goodbyes when you get home.”",It's almost midnight. I don't want you all to stay here unnecessarily. You better go now and get ready to eat. There's no need for you to stay late.',"The day has come, and we should not be leaving you behind; now is the time for you to ask good things of those who have done well.","The day has really passed, so we better not let them stay long. You ought to ask them for their morning good-byes too.'",The sky is darkening. Don’t waste time staying here. You can ask for greetings at home when it’s your turn.”,It's getting dark now. I don't want to waste time gossiping. I'll be seeing you again soon; just a formal good-bye today.'
他顾不上伤痛，急忙地、讨好似的回答：“有，有，有。”,"Ignoring his pain, he eagerly and ingratiatingly replied, 'Yes yes yes.'","He ignored his pain and hurriedly answered, ""Yes, yes, yes.""","All he had was to news: 'Yes, there's something.'","He didn't care about his pain, so he hurriedly answered: ""Yes, yes, yes.""","abandoning all his pain, he rushed to convince her that there was. 'Yes, I did. I did. I did.'","He did not care about pain, and hurriedly answered, ""There is, there is, there is.""","To avoid injuring his existing injuries, he made a hurriedly gratifying response: 'Yes, there's one.'","He didn't care about his injuries and hurriedly answered in a flattering manner: ""Yes, yes, there is.""","He was too excited to care about his wounds and offered a vague reply as he shuffled briskly away. 'Yes, yes, yes.'"
陈清扬在我的草房里时，裸臂赤腿穿一件白大褂，和她在山上那间医务室里装束一样。,"As Chen Qingyang sat in my thatched shack and poured out her troubles, she had on a white smock that left her arms and legs exposed, the same outfit she had worn earlier in her clinic.","When I was living in my tent at the foot of the hill, I wore a white gown like she did in the medical room on top of her mountain hut.","When Chen Qingyang would come to my thatched hut, she would bare her arm, bare her breast, and wear a white smock over her skin. And she looked just as naked as she was on the mountain clinic's front porch.","While Chen Qingyang was in my bamboo house, she wore her bare arms and legs in a pair of sandals and a white coat like she did in the mountain clinic.","When Chen Qingyang was naked body and bare legs, wearing a white smock, she resembled Wang Qiyao in our mountain clinic.","When I was living in my bedroom at the time of my meeting with you, I wore a white shirt and a black coat, as did she when she was in her medical room.","When Chen Qingyang lived in my thatched hut, both of her arms wrapped inside her white smock and she looked just like the one doctor's office she worked in on the mountain.","While Chen Qingyang was in my hut, she wore a white lab coat without sleeves or shoes, just as she had when she was in that mountain clinic.","When Chen Qingyang slept in my thatched hut, she also wore a white smock, and the way she dressed in her clinic on the mountain was exactly the same."
大爷说，“心急喝不得热粘粥。”,Greedy eaters never get the hot gruel.',"The old man said, ""I can't drink hot tea without boiling it.""","If you were to ask for something while you were sick, they wouldn't serve you hot glue.'","The old man said, ""Don't drink hot soup when you're hungry.""",In a hurry? Never hot enough to make a soup.',"The old man said, ""I can't drink hot tea from a boiling pot.""",Fleeting excitement会导致把温白分开的粥.',"Old man said, ""Don't eat hot porridge when you're hungry.""","Nightingale, you must not consume large amounts of heat-still soup without waiting.'"
这种弥漫全宇宙的残留背景辐射，在厘米波段上是可以观测到的。,The radiation fills the entire universe and can be observed in the centimeter wavelength range.,This pervasive background radiation in all of space is visible at wavelengths ranging from centimeter to meter.,残留的背景残余电磁背景在厘米波范围内可以被观测到。,This diffuse background radiation is observable over centimeter wavelengths throughout the universe.,This leftover radiation from the big bang can be detected at microwave frequencies.,The atmospheric residual radiation that pervades the entire universe is observable at the centimeter wavelength.,残留的背景残存于宇宙范围内，可以用于厘米波频率的探测。,This residual background radiation fills the universe in all wavelengths and can be observed at centimeter wavelengths.,This residual radiation from the big bang is detectable at the wavelength of centimeters.
“这种看法是片面的。” 叶哲泰平静地说。,"'That is a very one-sided view,' Ye said calmly.","The view is incomplete.""","Your view is naive,' Ye said. 'It ignores the fact that the wave travels at a speed of about 28.7 miles per second (2970 kilometers per hour), or about half the speed of light.'",This view is片面. Ye Zhitai said calmly.,"That's片面,' Ye said, speaking very calmly.",The view is incomplete.,"Your view is shortsighted,' Ye said.",This view is片面. Ye Zhaotai said calmly.,"That's only one aspect of it,' Ye said, trying to keep his voice calm and steady."
有那么多的矢车菊，在杂草中高扬着细长的茎，开着紫、蓝、粉、白四色花。,"Everywhere you looked, narrow stems of cornflowers were bosomed by clumps of rank weeds, their purple, blue, pink, and white flowers waving proudly.","There are so many of them, blooming in a field of weeds. Each flower is in shades of purple, blue, pink, and white.","More than a dozen hyacinth flowers stood up each too long bud above the tangled sward, all purple, blue, or mix of the three, flowering in shades of light and dark.","There are so many daisies growing among weeds, with long stems carrying flowers of purple, blue, pink, and white.","Among the weeds arose a cornflower, its long stems soaring above the tangled fields of purple, blue, pink and white flowers.","There are so many of them, but they rise high among the weeds with slender stems that open to a dozen colors: purple, blue, pink, and white.","With so many roses strewn across the clumps, each of them stretching out like a thornwood, flowers could be anywhere from purple to blue, or even white, or any combination thereof.","There are so many daisies, high on their slender stems, with purple, blue, pink, and white flowers.","Among the flecks of yellow astily sprouting from the weeds were little purple, blue, pink, and white flowers."
当船体通过一半时，汪淼甚至怀疑钢柱间的纳米丝是不是真的就不存在。,"When half the ship had passed, Wang began to doubt whether the nanofilaments between the steel pillars really existed.","When the ship’s hull crosses half of its beam, Yang Minxi even wondered whether the nanotube between the steel pillars was really absent.","As he watched, Wang was afraid that the filaments might not be there at all.","When the hull passed halfway, Wang Miao even wondered if the nanotubes between the steel columns really did not exist.","As the ship passed half way across the body, Wang even wondered if the nanofilaments were really nowhere to be seen.","When the ship crosses half of its length, Chen Xiaotao even wondered whether the nanosheets in the steel columns were really there.","As they passed through half the ship's surface, Wang was afraid that the filaments might not be as thin as he had thought.","Even when the hull was halfway through, Wang Meng doubted if the nanotubes between the steel bars really didn’t exist.","When through the half of the ship's hull that she could no longer see the steel pillars, Wang was almost certain that the nanofilaments were fake."
“不吱声？,'No answer?,"Is there anything you want to talk about?""",No more fighting?,"Silence?""",Not quiet?,"Is there anything you want to say?""",No more fighting?,"Silence?""",Not quiet?
表哥的步子也迈得很快，有要紧事去做似的。,"The cousin also moved briskly, as if he had something urgent to take care of.",The steps of my brother were also quick. They were doing important things on a rush.,The cousin's steps were quick. He was doing important things.,"Uncle's steps were quick too, as if he was going somewhere important.",Wu Peizhen's cousin was walking fast too—his purpose seemed to be in a hurry.,"The steps of my brother also speed up, as if they had important matters to do.",The cousin was quick to respond. He needed to do important things.,"His cousin’s steps were also quick, as if he had something urgent to do.","As for Wang Qiyao's cousin, he was clearly in a hurry; his hurried steps suggested that there was something important on his mind."
他们是老克腊读体育系时的同学，以体育的精神独领风骚，也体现了当今世界的潮流特征。,"All of them were college classmates of Old Colour from the phys-ed department; they prided themselves on their athletic spirit and prowess, which happened to be right in tune with worldwide fashion.","They were classmates of Kalinga when he studied sports at university, embodying a spirit of sports, as well as the current trend in world politics.",They were学生们中的前辈，以体育精神引领风靡全校，也是那个时代社会潮流的代名词。,"They were classmates of Old Kwo Li when he was studying physical education. They stood out for their sports spirit, and they embodied the characteristics of today's world.","When Old Colour was in the physical education faculty, his sports-obsessed classmates represented a whole generation.","They were classmates at the old Kancha who had the spirit of sports, and this also reflected the trend of today's world.","They were students of Chaiyu's sports class, ideas of sports spirit leading them wherever they went. They were also a perfect fit for the times we live in.","They were classmates of Lao Ke La when he studied sports at college. They led the trend with their spirit of sports, and they also embodied the current world's trend.","When Old Colour was in the sports faculty, his classmates were all outgoing and athletic. Like the time we lived in, they represented the spirit of their generation."
谁学习好，谁考的分高谁就能上！,Whoever studies hard and gets the best score gets to go to college!,"Who learns well, who gets more points? Who can get higher marks!",Who does better job of studying than who got higher marks？”,Who learns well will get a high score and can go up!,"So if we want to go to China, we've got to be the best student and get the best grade, right?","Who learns best, who gets higher grades, can get to where they want!","Once you have done well in your studies, he or she will definitely pass the exam. . . . So the smart students are the heroes and the lazy ones the villains.","Who studies hard will get good grades, which means he can enter!","So if all the students were good learners and got good grades, that was who got admitted!"
大江南北，见闻所及，不但读书人反对鞑子，而贩夫走卒、屠沽市井之中，也到处有热血满腔的豪杰。,"And wherever I've been, north or south of the River, I've discovered that it isn't only among educated people like ourselves that resistance to the Tartars is to be found. Many of our most ardent patriots are small tradesmen, Yamen runners, or market folk—people belonging to the very lowest ranks of society.","In all parts of China, even for those who read books, see their own opponents not just as readers and merchants, but also there are heroes from every part of society, overflowing with blood.",People of all classes of society—both those who read and those who read未经审核的所有事情—have an extreme thirst for knowledge and a still greater thirst for power.,"All over the country, from north to south, people with varying levels of education, from the bookish to the commoner, all have a great deal of blood on their hands.","NORTH AND SOUTH of the Jialun River, wherever his travels took him, whatever the social class of the people he encountered, he always found that not only scholars but strong-blooded men and women opposed the Tartars.","Across China's northern plains, one can see what is happening in their own time; not just people reading books against the鞑子， but men and women from every walk of life who have a passion for blood.","Men of letters everywhere who had not been influenced by the Tertanistic thought system rejected it wholesale, yet even those who read and sold newspapers and books knew that there were true patriots among their own number.","All over the north-south China, people from all walks of life, whether literati or commoners, have been opposed to the Qing.","From north to south throughout Greater and Less Asia, from the cities to the roughest backwoods, every sort of man – from the most bookish scholar to the crudest market-inauditor) – despised the Tartars and longed for freedom."
现在，三十九号住进一个王琦瑶，不由她又惊又喜，还使她有同病相怜之感。,She was therefore delighted to see another woman similarly out of place moving into no. 39.,"Now, thirty-nine is taking a room for Wang Guiren, who doesn’t seem surprised by her arrival and makes her feel like she has been through with her.",Now that thirty ninth time the hospital had住了 a Wang Qiyao was no longer able to look at her own health alone; she was also enabled to share a pain-in-the-ass with her.,"Now, thirty-nine checks into a Wang Qi'er, which surprises her both with shock and delight, and makes her feel sympathetic to her fellow sufferers.","Then, suddenly, Wang Qiyao moved in next door to her. Madame Yan was surprised, but happy; she felt connected to Wang Qiyao because of the way they both had gone through the death of their fathers.","Now, thirty-ninth Zhou Ling is getting married to Wang Guo'er, who makes her quite shocked and happy at the same time, which brings her a sense of sympathy for him.","Today, Wang Qiyao, the thirty ninth patient, became their resident Wang Qiyao; she came into the room not surprised but moved on by a mix of excitement and sadness.","Now, when Number Thirty-nine was admitted, she could not help being both alarmed and pleased, and it made her feel as if she were suffering from the same disease with Wang Qi'er.","Then she was surprised to be the patient of a woman with name Wang Qiyao, who seemed to have gone through almost exactly the same thing as her."
高粱挺拔的秆子，排成密集的栅栏，模模糊糊地隐藏在气体的背后，穿过一排又一排，排排无尽头。,"Erect stalks of sorghum formed dense barriers behind a wall of vapour. Each barrier led to another, seemingly endless.","The tall stalk of the wheat is arranged in a dense barrier, obscured by the air, with each row disappearing into the background, ending at its end.","The stalks of sorghum tower opposite one another, like a network of interlinking cages, foggily hiding their faces, blocking every view, and stretching without end between two rows.","Sturdy stalks of corn, arranged in dense rows, vaguely hidden behind the gas, passing through row after row, endlessly endless.","The stalks stood tall like a dense wall, with heads lost in the mist ahead, slicing through row after row until no end could be seen.","The tall stalk of wheat is dense with rows of gates. The fog obscures its outline, hidden behind a veil of gas, until the last row has passed.","The stalks of sorghum towered above them; the atmosphere obscured their identities, but enough space remained that they made a grid of rows behind which they flourished.","Stout stalks of corn rise up like a dense fence, obscured by gas behind them, passing through row after row of corn, row upon row without end.","Settled into dense clusters, sorghum shields out the sky above, passes between rows of sisters, where there are no ends to the set."
韦小宝也低声道：“我来迟啦。 我在路上绊到了一只又臭又硬的老乌龟，摔了一交。”,"'I know, I'm late,' Trinket whispered back, 'but I had a fall on the way. I tripped over a horrible old turtle.'","Villain also whispered, ""I've come late. I stumbled upon a stinky old turtle on the road that got me injured.""","I was late traveling,' said Trinket softly, 'but I bumped into a rotten, hard old turtle on the road, which sent me tumbling over. . . .again.'","Wu Xiaoya also spoke in a low voice, ""I came too late. I fell on my ass on the road because I stepped over an old black turtle that was both stinky and hard.""","Trinket followed his command but low: 'I'm too late! I'd almost given up hope when I saw that old leaky turtle on the road, weighing me down and holding me back!'","Wu Xiaowang also whispered softly, ""I came late. I fell over a scorpion that was very foul and hard.""","Other than that, I've been running late. I got into the car with a stinking old turtle on the way, and I scraped her up.'","Wu Xiaohe said softly, ""I'm late. I fell over a stinking old turtle that was as hard as nails on the road.""","Thoroughly sorry!' cried Trinket. 'I tried to help you, but I'd been拖延足下久候, and as I walked past a large hard green turtle I had stumbled over, and consequently could not come迅速的跑来.'"
贾蓉忙回来，满脸笑容的瞅着凤姐，听何指示。,"Jia Rong came hurrying back, wreathed in smiles, and looked at Xi-feng with eyebrows arched inquiringly.","Jian Cai hurried back, smiling as he looked at the Queen's aide. What did you want me to do?","Jia Rong returned promptly to his own greeting, smiling pleasedly at Xi-feng. He had recently followed her advice.","Jia Rong hurried back, smiling at Fanny, listening to He’s instructions.","Jia Rong hurried over as soon as he heard her call him. A smile of greeting was all he did manage to the old lady, however, as he went; for he was waiting for her instruction.",贾蓉匆忙回来，一脸笑容地望着凤姐，听从何氏的吩咐。,Jia Rong returned home with a clean face – staring enigmatically into Xi-feng's arms.,Jia Rong hurried back and smiled at Fanny. He listened to what He said.,Jia Rong hurried after his mistress. Grinning from ear to ear he waited for her command.
前面三辆囚车中分别监禁的是三个男子，都作书生打扮，一个是白发老者，两个是中年人。,"In each of the first three carts a single male prisoner was caged, identifiable by his dress as a member of the scholar class. One was a white-haired old man. The other two were men of middle years.","In front of three囚车， each one was held captive by a man aged 80 or older, with one being an old man in his mid-40s, while the other is an adult in his early 50s.","Three long cartesade seats were reserved for men, each bearing a beard as old as those of the other two. One of these gentlemen was an elderly man, the other two were middle age specialists.",Three囚车前分别关押着三个男子，他们都穿了儒生的服装，一个是满头白发的老者，另外两个是中年男人。,"The three men inside the carts wore the robes of scholars and one was a tall, old man, the other two were quite young men.",Among the three men who were being held in the first car was a middle-aged man with gray hair. The other one was a white-haired old man.,"Three long cartesoned with prison terms on their roofs were reserved for the three men present. One of them was a middle-aged scholar, the other two were old gentlemen.","Three carriages had been put aside previously, each with three men confined within them. One of them was a bald old man, two were middle-aged people.","The three men inside the carts ahead were students: one an old man, and the other two middle-aged men."
我所能交待的事就是在地头休息时摸她的乳房。,What I could confess was that I fondled her breasts when we rested at the edge of the field.,"The thing I can explain is that when I was sleeping on the ground, I would touch her breasts.","What I could confess was that while I were sunbathing on the ground, I touched her breasts.",What I can do is to feel her breasts when I rest on the spot.,I could confess was lying on my belly resting with my hand on her breasts.,I can explain what I know is that when I am resting on the ground and touching her breasts.,"What I could confess was that while I were sunbathing on the ground, I touched her breasts.","What I can tell you is that when I stop by her place, I will touch her breasts.",I could confess something while we rested my head on the rock: touching her breasts.
