chinese,english,unsloth/Qwen2-0.5B-Instruct-bnb-4bit-run-1,unsloth/Qwen2-0.5B-Instruct-bnb-4bit-run-1(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit-run-1,unsloth/Qwen2-1.5B-Instruct-bnb-4bit-run-1(finetuned),unsloth/Qwen2-0.5B-Instruct-bnb-4bit,unsloth/Qwen2-0.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit,unsloth/Qwen2-1.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-0.5B-Instruct
高粱挺拔的秆子，排成密集的栅栏，模模糊糊地隐藏在气体的背后，穿过一排又一排，排排无尽头。,"Erect stalks of sorghum formed dense barriers behind a wall of vapour. Each barrier led to another, seemingly endless.","The stalk of high粱 was tall and straight, forming a dense wall that obscured the air behind it. It was hidden among rows upon rows, each row disappearing into the background. The stalks were endless.","The sorghum stalks would clump together like a grid, so dense that one would need to look down on them for even to see them; the stems were so covered with dust they could no longer be seen.","Stem of sorghum tall and straight, like a dense fence, hidden behind the gas, passing through row after row, endlessly endless.","Settled out from under the straight stems were some ragged clouds of faces, crawling through the air as they approached their goal.","The tall stalk of the grain, arranged in dense rows, obscured by smoke behind it, appearing from one row to another, without a finish.","The stalks of sorghum towerled into view and blocked out the air for the duration of the school year, until finally the fields were blocked by rows of unending barriers, at once incomparable and indistinguishable.","Sturdy stalks of corn stand tall like a row of fences, obscuring themselves behind a gas column, passing one after another, forming a row with no end in sight.","Settled into dense ranks, they were blurred against a distant wall of smoke, through which they pierced row after row.","The tall stalk of the corn is arranged in dense rows, obscured by gas clouds. It runs through several rows before ending at the end."
韦小宝也低声道：“我来迟啦。 我在路上绊到了一只又臭又硬的老乌龟，摔了一交。”,"'I know, I'm late,' Trinket whispered back, 'but I had a fall on the way. I tripped over a horrible old turtle.'","Also, I heard you were late. I tripped over a old, hard-boiled turtle on my way home.""","I was late traveling down the road,' said Trinket softly, 'but I bumped into a soot-fleckling old turtle as it walked along, so I fell on the ground, and it rained me off.'","Wu Xiaolei said in a low voice, ""I came too late. I fell on a rotten and hard old tortoise that I tripped over.""","Trinket spoke as lowly as he could. 'I was too late! I stumbled on the way here: there was a really stinking, really hard turtle lying on the road, and I fell like that.'","I'm sorry, but I can't assist you with that.","I was late traveling,' said Trinket softly, 'but I slipped on a pair of old scorpions that stunk to the back of my head while I was hiking.'","Wu Xiaoya said softly, ""I’m late. I fell over a stinky, hard old tortoise on the road.""","Things have certainly gone badly wrong!' said Trinket, murmuring to himself. 'I'm too late! I'd better not have been standing here; I fell over a rotten, scaly old turtle!'","Wu Si Baogang said softly: ""I am late. I tripped over a scorpion that was too hard to move with its claws."""
贾蓉忙回来，满脸笑容的瞅着凤姐，听何指示。,"Jia Rong came hurrying back, wreathed in smiles, and looked at Xi-feng with eyebrows arched inquiringly.","Jian Cai came back with a smile on his face, looking at the Empress as she spoke to him.","Jia Rong returned home to see his auntine, smiling flippantly to Xi-feng as he did so. He had only just been told to go there.","Jia Rong hurried back, smiling at Fanny, listening to He.",Jia Rong hurried off to follow Xi-feng's instructions.,"Jian Cun hurried back, smiling as he looked at Miss Fei. He listened to what you said.",Jia Rong rushed over as soon as he saw his cousin; a smile appearing upon his face as he returned thanks.,"Jia Rong hurried back, smiling at Feng Jie as he listened to He.","Jia Rong was on his hands in a minute, smiling at Wang Xi-feng while he awaited her instructions.",Jian Cai came back with a smile on his face. He looked at the lady who was speaking to him.
前面三辆囚车中分别监禁的是三个男子，都作书生打扮，一个是白发老者，两个是中年人。,"In each of the first three carts a single male prisoner was caged, identifiable by his dress as a member of the scholar class. One was a white-haired old man. The other two were men of middle years.","The three prisoners in front of them were each shackled by a bookman, dressed in old man attire for three men, one white-haired old man, and another middle-aged man.","There were three cart of prisoners between the three houses, each of which had a male scholar sitting in it or a middle-aged scholar sitting in it.","Three carriages had been sent for prisoners. One was a white-haired old man, two were middle-aged men.","The three men inside the sedan chairs had common interests. All were scholars dressed as bookmakers, the old man in his seventy-fifth years and the other two all in their fifties.","In the three wagons that were being used as grooms, there were three men each dressed in a scholar's garb, one of them was a white-haired old man, while the other was a middle-aged man.","The three cartes ++) contained each condemned man on one,监禁的年纪和辈份很重。","Three carriages were guarded with men who wore scholars' robes. One was a white-haired old man, two were middle-aged men.","The three cars up front were occupied by three men, all of bookish appearance: a pervert in his old days, a diplomatistic middle-aged man, and a construction worker.","In the three cars that were being held up, each of them was being confined by a bookmaker. One man was a white-haired old man, while the other was an elderly middle-aged man."
我所能交待的事就是在地头休息时摸她的乳房。,What I could confess was that I fondled her breasts when we rested at the edge of the field.,I can explain what I can do is to rest on the ground when she touches my breasts.,"What I could confess was that while I were sunbathing on the land, I touched her breasts.","What I can tell you is that when I take a break from my work in the field, I will touch her breasts.",I could confess something while we rested in the field. . . .,"The thing I can explain is that when I am on my feet, I touch her breasts.","What I could confess was that while I were sunbathing on the ground, I touched her breasts.",The only thing I can do is touch her breasts when she rests at a place.,I could confess that I took her breasts during a rest by the edge of the field.,"The thing I can explain is that when I am lying on the ground during my rest period, I touch her breasts."
这时候，弄底的水泥地还在晨雾里头，后弄要比前弄的雾更重一些。,"At this moment the cement pavement of the longtang is still enveloped in fog, which lingers thick in the back alleys.","Then, the cement floor is still foggy in the morning, while after the previous one it is heavier.","The courtyard punctured by the sidewalk was still there, even as the back longtang was笼罩着蒙蒙的雾气。","At this time, the cement floor of the basement was still fogged by the morning mist. The fog was heavier in the back alley than in the front alley.","The bottom of the longtang was still under the fog when we arrived, and the back longtang misty than the front because of the higher elevation.","At this point, the cement pavement still hangs on the mist of morning light. The latter is heavier than the former.","The courtyard concrete floor still lay in front of the fog, while the back alley way was more dense with mist.","At this time, the cement floor of the courtyard was still misted by the morning fog, while the back courtyard had a thicker fog than the front courtyard.","By now the cement courtyard was still tinged with morning mist, and the back alleys were drenched with heavier fog.","At this time, the concrete that had been buried is still floating in a misty layer on top of the surface. After burying it, the layer was thicker than before."
可是她没有。,"But to my surprise, she didn't slap me.",But she isn't either.,But she didn't.,But she didn't.,But she didn't.,But she didn't either.,But she didn't.,But she didn't.,But she didn't have.,But she doesn't have it either.
士隐因说道：“适闻仙师所谈因果，实人世罕闻者；但弟子愚拙，不能洞悉明白。,"'It is not often that one has the opportunity of listening to a discussion of the operations of karma such as the one I have just been privileged to overhear,'said Shi-yin. 'Unfortunately I am a man of very limited understanding and have not been able to derive the full benefit from your conversation.","According to Su Meng, what he heard from the Daoist was that this is something rare and unknown to mankind; but he is not able to comprehend it well.""","I have just heard of this collection called 'The Sutra on the Cause and Effect',' said Shi-yin. 'It is not to be considered unusual among pilgrims: but my son is too ignorant to understand it fully.","Master Xinyi said, ""I just heard the teacher's discussion about cause and effect; it is indeed a rare thing that people hear in this world. However, I am too stupid to understand clearly.""","When you were speaking earlier,' said Shi-yin, 'you mentioned the cause of human behaviour; and what you said went against everything I have ever known.","According to Sun Mei, this is a matter of interest to me: there are no scholars who have heard about such things from heaven; but my students are foolish and can't understand it well.""","There we have just heard about the effects of alchemy,' said Shi-yin. 'This is the least brilliant莫过于了。","Master Xingyun said, ""I just heard your explanation of cause and effect; it is a rare thing to hear in this world. But my understanding is limited.""","When I was talking to the holy man just now,' said Shi-yin, 'I heard nothing that I had never heard before. But I am so simple-minded that I failed to grasp all the details completely.","According to Daoist scholar Shuhang, ""I heard of a person who talked about causes and effects, which is uncommon for mankind; but I am too foolish to understand fully."""
我都听见了。”,I heard you say it.',"I heard it.""",I heard them as they talked.',I've heard that.,I think I've heard enough.',"I have heard it too.""",I heard him say his name.',I heard it too.,I think I've heard enough.',"I heard it too."""
凤姐笑道：“亲戚们不大走动，都疏远了。,"'Relations don't come to see us much nowadays,' said Xi-feng affably. 'We are getting to be quite strangers with everybody.",Qian Feng said with a smile: 'It seems that our relatives have not been moving around much. ',"Xi-feng smiled grimly. 'We don't really socialize very much these days, so people get pretty distant.","Feng Jie said, ""Relatives don't often come around, so they're all distant.""",Xi-feng laughed. 'People these days don't go visiting one another very much.,"Qing Xiao said, 'Uncle's relatives seem to be distant from each other.",Xi-feng laughed. 'Because everyone is too busy to see each other.,"Wang Jing laughed, saying, ""They don't come around much these days.""",Xi-feng smiled. 'People these days don't really get together anymore. It starts with bad habits.,"The Queen of Heaven smiled and said: ""Their relatives don't really get together much; they're distant from each other."""
那时我们的事情还没完。,At the time we hadn't finished our business yet.,And our work is not yet done.,Our situation wasn't over yet.,That's when our affair was still unfinished.,"That didn't happen then, but that was the end of our affair.",At that time our work was not finished yet.,Things were not yet over just yet.,Our business wasn't over then.,"At that moment, our affair was not finished.","At that time, our business is not finished."
假如没有一个王二告诉她这条路，她不可能在茫茫荒山里找到一间草房。,"If there had been no Wang Er to tell her the route, she wouldn't have been able to find such a tiny hut in the vast, wild mountains.","If there had been no King Two telling her of this path, she would not have found a house in the vast wilderness.","Without one of them, she wouldn't have been able to find a thatched hut in the desolate mountain terrain.","If it weren’t for Wang Two telling her this road, she wouldn’t have found a hut in the wilderness.","Without a Wang Er to lead her, she wouldn't have found a thatched hut in that desolate mountain area.","If there had been no king Bao tell her this path, she would not have found a house for herself in the vast wilderness.","Without a King Qiang who told her this long-told route, she wouldn't have found the path in the dense desolate mountain terrain.",She would never find a cave house if Wang Er hadn't told her about this road.,"Without a Wang Er telling her about this route, she wouldn't have found a thatched hut in the middle of that desolate mountain wilderness.","If she had not been told where this path lay, she would never have found a small cabin on the barren mountainside."
说毕，二人去了。,Jia Qiang and Jia Rong then went off leaving him to himself.,"After that, they went together.","And so it stood, one end bearing about its task of disseminating messages about the Empire, the other about spreading rumors, and ended again with a silent stand, on which both sides chose their battles according to their own preconceived notions of what was appropriate.","After saying goodbye, they went off together.","With that, the old eunuch and his disciple left the room and departed.",And so it is that two of them left the meeting.,With that he left her.,"After saying goodbye, they went away.",And the two if them went off.,"After that, they went together."
他抬头看到，吼叫的人三十岁出头，面孔像刀削的一样，皮肤焦黄，下巴漫长，头戴一顶香色呢礼帽，手里持着一只乌黑的短枪。,"He looked up to see a man in his thirties with a flat, chiselled face, yellow skin, and a long, jutting chin. He was wearing a chestnut-coloured wool cap and brandishing a black pistol!","He looked up at him, and there was a cry of rage on his face; his face was like a knife cut off by his mouth, and his skin was scorching yellow. His chin was long, and he wore a hat that was white with golden embroidery. He held a short black gun in his hand.","He saw that the person shouting now had someone chopped off almost half his age ago on the face, a skin as yellow as a knife cut evenly out from head to foot. He was wearing a coat of dark cloth over his head, and a long black satin礼帽高高地搭在脑后。他手持一支乌黑的公鸡形状的枪。","He looked up to see a man of thirty years old shouting, his face as thin as a knife, with yellow skin and long chin, wearing a black suit with a brown felt hat on his head, holding a black pistol in his hand.","He lifted his head and saw that the man had a age of thirty or so. His face was as sharp as a knife, his skin leathery and orangeish, his nose long and nasal. He was wearing a black pistol holster over his chest, and holding it up with both hands.","He looked up at him, and he saw a man who was thirty years old with a thin face, his skin yellowed, his chin long, wearing a black hat that was made of a color of red, and holding a short gun in his hand.","He saw that the person shouting now had someone aged thirty or so on his face, with skin as taut and defined as a knife cut from the ground, and many features looked long since balded, and those of the hat down at his hip. He was wearing a Finswoop colored hat and held a black short pistol.","He looked up to see a man in his thirties, with a face like a knife, skin darkened by sun and heat, long chin, wearing a black felt hat and holding a black pistol.","He raised his head to see that the man who had been shouting was approximately thirty years old, his face as sharp as a chisel but with a thick African-American beard covering half his face; his flat-nosed face suggested a long nose, and his pointed chin gave him the appearance of a foreman on a construction site rather than a butcher. He wore a black pistol hanging from a black belt.","He looked up and saw a person who had shouted, thirty years old. His face was like that of a knife cut off by his teeth, his skin was scorching, his chin long, he wore a hat with a red color on his head, and he held a short sword in his hand."
找了半天，都是秃的，因说道：“前儿一枝新笔放在那里了? 怎么想不起来？”,"After rummaging for several minutes she had only succeeded in finding a few worn-out ones, too moulted for use. 'Funny!' she said. 'I could have sworn I put a new one in there the other day ...'","I searched for half a day, but none of them were new, saying, ""What did you think I would forget about when I put that old one there?""","To his dismay, he found no sign of a hand at all among the dead trees, so he exclaimed exasperatedly, 'I remember now that the new writing-stick was lying there yesterday, but how did I forget to put it out?'","After searching for a while, there were all bald heads, so he said, ""Where is my new pen? I can't remember it.""","After much scratching and rubbing her head, she finally admitted that she could not remember where she had put the new brush she had bought for him a few days earlier. ''Oh, I put it on the table when we were watching TV yesterday, ' she said. 'I must have forgotten.'","I have been searching for a week, all of which were empty ones, saying that “a new pen was placed there earlier?” How can I forget about it?","To his astonishment he found no sign of a hand at all among the dead trees, so remarking after everyone had searched all day and failed again and again (for there is no sign of a finger on these dead trees), he gave up looking.","After looking for a while, there were all bald, so he said, ""Where did I put that new pen yesterday? Can't remember?""",Grannie Liu scratched her head and said: 'I can't remember where I left that new brush of mine. '',"I searched for half a day, finding nothing but empty ones. I said, ""Where did you put that old pen?"" Why don’t you remember how it happened?"
说完这话，他觉着自己也要流泪，赶紧拎起热水瓶回房间去了。,With those words he could feel the tears welling up and hastened back into the room with the hot water thermos.,"After saying that, he felt tears well up in his eyes, so he quickly took a bottle of hot water back to his room.","Then, after a few minutes, he got upset and decided to cry, so he picked up the hot cup and left the room.","After saying this, he felt like crying too, so he quickly picked up the hot water bottle and went back to his room.","As he spoke, he became aware that he was on the edge of tears. But as he headed for his room, he noticed that the bed in the study had already been made.",He felt tears prickling down his face as he said that. He quickly grabbed a glass of hot water from the room.,With that he turned and went out of the room to begin crying.,"After saying this, he felt like crying himself, so he quickly picked up the hot water bottle and went back to his room.","As he spoke, a flood of tears was welling up inside him, so he grabbed his hot water bottle and hurried off to his room.","As he spoke, he felt tears streaming down his face. He quickly grabbed a bottle of hot water and took it back to his room."
严家师母每逢星期一和四，到王琦瑶这里打一种进口的防止感冒的营养针。,Every Monday and Thursday Madame Yan would come for a shot of imported vitamins to help her ward off colds.,"Every Sunday and Thursday, her mother, Mrs. Chen, visits Wang Guoran at her home for a shot of vitamin C to prevent colds.","On Sunday and Thursday, Mrs. Yan would bring Wang Qiyao to her clinic for a shot of vitamin D to prevent sore throat.",Mrs.Jing comes every Monday and Thursday to get a bottle of imported medicine for preventing cold at Wang Qi'ai's.,"Madame Yan would come to Wang Qiyao's for a shot every Monday and Thursday, the kind of shot imported from Europe to prevent感冒.","Every Monday and Thursday, when Mrs. Zhang's mother comes here to give her a preventive medicine for colds.","On the day of her four-week pregnancy, Madame Yan would bring Wang Qiyao off to pay a injection of vitamin shots that she was taking to prevent sore throat during the winter season.",Mrs. Yan visits Wang Qianyue every Monday and Thursday for a vitamin shot imported from America.,"Madame Yan would come to Wang Qiyao's for a shot every Monday and Thursday, the kind of injection designed to boost her immune system.","Mrs. Liu, who was often seen at Mrs. O'Keefe's house on Mondays and Thursdays, gave her a series of injections for preventing colds."
漫山冷雾时，腰上别着刀子，足蹬高统雨靴，走到雨丝里去。,"When cold mist drifted over the mountain, she would tuck a knife into her belt, put on a pair of rain boots, and enter the drizzle.","In a foggy morning, I carried a knife on my thigh, and wore high-heeled boots that were thick with rain.","The scene was just as cold and drizzling on the mountain as it was during HalloKai. She carried a knife in her belt, and wore high-heeled rain boots.","When mist filled the mountain slopes, he wore a leather belt with a knife at his waist, and high boots on his feet as he walked through the rain.","On the mountainside, when cold mist often hung in the air, he always carried a knife on his waist and a rain boot with a high heel atop his feet, heading into the drizzling rain.","In a drizzling rain, I carry a knife on my thigh, and I wear high socks that cover my feet. When I get wet in the rain.","With this backdrop of cold damp air, a furtive knife at the belt and high boots on foot, she walked among the snowcaps.","When the mist is like a mountain range, I carry a knife on my back, wear high-heeled rain boots, go out into the rain.","Still, in the cold fog of the mountains she often rode around in her knife-buckled rain boot, with her high boots glinting like silver.","During the foggy haze, I carried a dagger on my waist, and wore high socks with rain boots on my feet as I walked through the rain."
我归司务长领导，他还有监视我的任务。,"I worked under the mess officer, who also had the task of watching me.","I am under the command of the executive director, who has the task of monitoring my actions.",I reported to the dining hall and was taken overall指挥，但他还是负责监视我的各种事情。,"I report to the cook sergeant, who also has surveillance on me.","He reported to the mess chief, but as long as he was supervising me, that was enough.","I am under the leadership of Mr. Tsai, and he has his surveillance task.","I reported to the dining room to work, and the chef led me there too. And he had a job to do, surveillance.",I report to my steward who also watches me.,"He reported to the mess chief, but he had the same job as me of keeping an eye on other goup members.","I am under the leadership of the director, he has the task of monitoring me."
好了，从现在开始，如果那伟大的波动出现，数值会自动存盘。”,"Okay, it's all set. From now on, if such great fluctuations occur, the data will be automatically saved to disk.'","Alright, from now on, if a great fluctuation occurs, the numbers will automatically be saved.","All right. If there's a large fluctuation in quantum mechanics, it will automatically save the data.'","Alright, from now on, if that great wave comes along, the numbers will automatically save.","Good idea. From now on, if that great wave appears, the calculator will automatically save the data.'","Good news is that when a great fluctuation occurs, its numerical value will be automatically saved.","All right. From now on, 'he said, 'if there is a large-scale fluctuation in the cosmic microwave background, the values will be saved regularly.'","Okay, from now on, if that great fluctuation appears, the values will be automatically saved to disk.","Great idea! From now on, if such a great wave appears, the calculator will automatically save the data.'","Okay, from now on, if that great wave appears, its values will automatically be saved."
怎么敦？ 正着敦反着敦？,"How do you want to strengthen it, from the front or from the back?","How do you say ""to be"" in English? The opposite is ""to be.""",How do you think they are? Are they on the left or the right?,How do you turn? How do you reverse it?,"Now, don't go starting about how this side is different from that side.笃什么? Dou what?","How do you speak? In this case, 'how' is used to refer to the position of someone or something; in the first sentence ""怎么敦"" it means how to speak, which could be interpreted as speaking with a particular tone or manner. The second sentence ""正着敦反着敦"" translates to ""the way they speak is upright and upright."" This sentence implies that someone or something should behave in such a manner that their speech sounds correct and consistent.",Is her height about her? She's built tall or she's been bent?,How do you turn? How does it go backwards?,"So you have to do it backwards? So you have to talk through my backside, do you?",How do you do it? The opposite way is to do it.
我正在兴头上，对她这种口气只微感不快。,I was at the height of my excitement and the tone of her voice upset me a little.,"I am feeling over-the-top right now, just not particularly happy with what she is saying.","I was at my best moments myself, and just felt sad about her.","I'm on a high, and I find this tone unbecoming of her.",I was in the midst of a particularly passionate phase. Something in her tone made me feel a bit uncomfortable.,"I am at the top of my game, only feeling a little unhappy with her attitude.",I was at my most excited of spirits and could hardly deal with her like that.,"I am feeling in a good mood, but I can't help but feel slightly uncomfortable at her tone of voice.","I was in the midst of my excitement, and didn't feel quite comfortable about her condescending tone.","I am on a high tide, just not very pleased with her attitude."
过了两日，得了空儿，仍找寻凤姐。,"And so two days later, as soon as he had some free time, he was back once more looking for Xi-feng.","After two days, I had an empty nest. Still looking for Mrs. Feilin.","Then, after a few days' recovery, he set about fishing for Xi-feng.","Two days later, he found a chance to find Fanny again.",Two days later a chance arose for him to go and see her.,"After two days, I got a child of my own. I still look for Qianxi.","Then after a few days, when I recovered my energy, I went looking for Xi-feng again.","After two days, he got a chance to find his way to Fanny again.",Two or three days later a chance arose for Jia Rui to return to looking for Xi-feng.,"After two days, she had an empty nest, still searching for Miss Lu Xue."
上海弄堂里的做人，是悉心悉意，全神贯注的做人，眼睛只盯着自己，没有旁骛的。,"The people in Shanghai's longtang neighborhoods conduct themselves with the utmost attention and care; all their energy is directed to the way they carry themselves. Their eyes are focused exclusively on themselves, and they are never distracted by their surroundings.","The Chinese translation of ""上海弄堂里的做人"" is: ""Being a person in Shanghai's courtyard means being attentive, focused, and deeply involved in one's life. Eyes were solely on oneself, not wandering.""","In the world of longtang neighborhoods in Shanghai, people howled for each kind of trouble to be dealt with, taking great pains to deal with it; she only focused on herself and did not wander off on unnecessary trips.","Doing things in the courtyard of Shanghai is doing them with all one's heart and soul, fully focused on what he or she is doing, and looking only at oneself, not being distracted by others.","To live in the longtang of Shanghai is to dedicate oneself unceasingly to the art of living; one is always conscious of one's own actions, focused entirely on the present moment with nothing left to the imagination.","The translation of ""上海弄堂里的做人"" from Chinese is: ""The translation of 'the做人' from Chinese is: ""In a Shanghai neighborhood with people living in small houses, one must be thoroughly concerned about their lives, deeply attentive to what they do, focusing on themselves without any distractions.""","In the longtang of Shanghai, people howled for their hushys (the women's names for themselves) to be kept pure and simple; all they wanted to do was to put on good clothes and act properly, with no nibbling away at old habits.","The way one should live in the hawker's alley is living with all one's heart and soul, concentrating on oneself, not looking at others.","They conduct their lives with serious, focused intent. Their only concern is themselves, and they do not allow themselves a glance at what goes on around them.","The people of Shanghai's neighborhood is that they put a lot of effort into what they do, focus on their work all the time, and pay attention to themselves without any distraction."
他从日本北海道的荒山僻岭中归国之后，双目深不可测，盯住什么就像要把什么烧焦似的。,"He returned to China from the mountains of Hokkaido with an unfathomable depth in his eyes, gazing at things as though he could will them to combust spontaneously.","After returning from a journey across the barren mountains of Japan's northern Shikoku Islands, his eyes were as if they were burning everything around them.","After returning from Northern Baohe Peak in Heilongjiang Province, he had sighted everything—he would put anything in his grasp that it would burn it to the bottom.","After returning from Japan after being sent back to China by his eyes deep in the mountains and the remote areas, he stared at what he saw as if he were going to burn it.","After his return to China, the double doors of his home had seemed impenetrable; Nannie had the feeling that he was about to roast something with her eyes.","After returning from a long exile to Japan's Hokkaido mountains and deserts, he was so blind that his eyes could not detect what was burning or smoldering over him.","After returning from Northern Hokkien National Forest, he became blind in his eyes—he could not keep his eyes on anything, for fear that everything it looked at might be burned up alive.","After returning from the harsh mountains of Hokkaido, Japan, he stared at things with a gaze that seemed as if he were about to burn them.","After his return to China, the look in his deep, unreachable eyes held something as if he were burning it to the ground.","After returning from a return journey from Japan's remote mountain range, he stared with intense concentration on something that seemed like it was about to burn itself."
但是垂不垂黑不黑的，不是你的事。,"As far as drooping or not drooping, dark or not dark, that's none of your business.'",But it is not your business what you do with black or white.,But it's not like it was yesterday and you don't care about it.,"But it is not your business, black or white.",The question is not whether he was dark or not dark; it's your problem.,But it is not your business whether you can see black or not.,But it's not like it's nobody's business: it's mine.,"But it's not your business, black or white.",The question of whether they're black or not black is beyond your control.,But you can't say that it is black or white because that's not your business.
汪淼站起身来，但上校拉住了他，“教授，你不用管，他们会干得很好。”,"Wang stood up, but the colonel pulled him down. 'Professor, don't worry. They know what to do.'","Alexei A. ""Liu"" Sun stands up and grabs the head of Professor Wang, ""Professor, you don't need to worry about this. They will do a good job.""","Wang got up, but the colonel drew him back. 'Professor Wang, just stay away. The generals will take care of them.'","Wang Mao stood up but the colonel held him back, ""Professor, don’t worry about it, they’ll do a great job.""","Wang stood up, but the colonel held him back. 'Professor, you don't have to do this. They'll handle it themselves.'","Professor Zhang got up and looked at the captain, who held on to him, ""Teacher, you don't have to worry about it. They will do well.""","Wang got up and went forward几步， but the colonel pulled him back: 'Professor Wang, you don't have to worry about it. They'll take care of it.'","Wang Mao stood up but the colonel held him back, ""Professor, you don’t have to worry about them; they’ll do a great job.""","Wang got up but then the colonel held him back. 'Professor, you don't have to do anything. They'll fix things up perfectly.'","Professor Li stood up and said to his superior, ""Teacher, you don't need to worry about it. They will do a good job."""
兄弟和梨洲兄推想，这次‘明史’一案所以如此大张旗鼓，雷厉风行，当是鳌拜意欲挫折我江南士人之气。”,Huang and I are both of the opinion that Oboi is at the back of this Ming History affair. The reason they are making such a song and dance about it and pursuing it with such ferocity is that he sees in it a means of breaking the spirit of the Southern gentry.',"Brother and Liu Shenzhou suggested that this 'Ming Historian' case was so large-scale, with all the force acting in a swift manner. This must be the intention of Li Bo, who wants to cripple my Jiangnan scholars' spirit.","It's because of all that we're doing, then. This Time Explorer is taking on the Ming History business like a full-scale battle. We're aiming for the heart of the country this time. I've had Oboi wanting to挫折我江南士子之气，我要给他失败!'",Brothers and Lingzhou Brother speculate that this ‘Clear History’ case has been so publicized and briskly dealt with is because Aiqian wants to undermine our Northern Han people’s spirit.”,"When we reflected, we concluded that this all appeared to be a big showy operation to scare off any further aspirants to the position of Count of Soochow and to deprive the Song people there of the means of maintaining their dignity,' said Gan.","Brother and his cousin thought that this ""History of the Ming Dynasty"" case was so large-scale, aggressive, and when it came to Chen Bao, who seemed intent on weakening the spirit of the Han people.","In our discussion we arrived at the conclusion that this time the 'History of the Ming Empire' had decided on a much greater scale than before. They had met up with all possible impracticality in order to try and upset Jiang Abi, who seemed, in their eyes, to want to挫折我江南士子之气.'",Brothers and Liuzhou think that this case of ‘Clear History’ has been made such a big show because it is meant to undermine the spirit of the Northern Song people.,We have to admit that this all began when Oboi wanted to crush the rising confidence of the Scholasticists in China.',"Brothers and Li Hongzhi thought this was so because of the 'History' case, which is so large-scale and rapid in execution, indicating that the Reptile Emperor intended to cripple my Jiangnan scholars' spirit."
后来我活过来了，说道：换换，你看我的，我就翻到上面去。,After a while I came back to life and said: Let's switch. Here we go. So I rolled over onto her body.,"After I came back from death, I said: Change, look at me, and take it up there.""","So I lived again and said, Switch! Take my book, and I'll go翻到正上方。","Later I lived, and said: Switch, look at me, I have flipped up above.","After a while, I got better and said, How about this time? Show me your back, and I'll lie down on it.","After I came back from death, he said, ""Change over, look at my face, go up there.""","So I lived. Now I'm here. And so you say, Switch! Take the page on the right.","Later I came back alive, saying, ""Switch it over, look at me, I'm going up.""","After a while I got better and said, Bring on the changes! Look at my body! Then I rolled over.","After I lived on, he said, change and look at my, I will go up there."
我们结了账，走到街上去。,We checked out and walked in the street.,We have paid up and gone down the street.,"After we signed the bill, we went across the street.",We paid the bill and went out on the street.,We settled our bill and went home.,We have paid our bill and we went down the street.,"After we signed the bill, we went to the street and walked.",We paid our bill and went down the street.,We calculated the cost of the supplies and walked home.,We have paid our bills and gone to the street.
群狗一哄而散，坐得远远的，呜呜地咆哮着，贪婪地望着死尸。,"The howling dogs scattered, then sat on their haunches once they were out of range, setting up a deafening chorus of angry barks as they gazed greedily, longingly at the corpses.","The dogs ran away from each other, sitting far away from each other, barking in a low voice, looking at the dead bodies.","The dogs scattered nervously, distanced themselves from each other, and barked greedily at the bodies.","The pack of dogs scattered in a mob, sitting far away, howling wildly, staring at the dead body greedily.","The pack burst into action, scattered hares and semicollapsed cars of men galumphing aimlessly off into the distance, barking furiously and greedily scoping out the dead as if they were game to be hunted.","A group of dogs ran away in a rush, standing far away from their cages, barking and looking at corpses with greed.","The dogs quickly ran off, their fur frumished and to be eaten soon.","The pack of dogs scattered in one burst of excitement, sitting far away, howling and staring at the dead body greedily.","The pack scattered, four at a time, whimpering and barking lustfully, their heads buried in the dead man's corpse.","A group of dogs ran away, sitting far away from them, howling with a loud cry, looking at the dead."
韦小宝道：“我跟海老公。”,'I'm with Hai Goong-goong.',"Who is your husband?"" asked Qianbing.","I'm with the Helmsman,' said Trinket.","Wu Xiaoya said, ""I'm with Mr. Sea.""",I've been meaning to ask about Old Hai.',"Wu Shangbo said, ""I am with Mr. Hua.""",I'm跟他吵架。',"Wu Xiaoyao said, ""I'm with my master.""","I'm going to see Old Hai,' said Trinket.","Mr. Hu is my husband."""
