chinese,english,unsloth/Qwen2-0.5B-Instruct,unsloth/Qwen2-0.5B-Instruct(finetuned),unsloth/Qwen2-1.5B-Instruct,unsloth/Qwen2-1.5B-Instruct(finetuned),unsloth/Qwen2-7B-Instruct,unsloth/Qwen2-7B-Instruct(finetuned),unsloth/mistral-7b-instruct-v0.3,unsloth/mistral-7b-instruct-v0.3(finetuned),gradientai/Llama-3-8B-Instruct-Gradient-1048k,gradientai/Llama-3-8B-Instruct-Gradient-1048k(finetuned)
我正在兴头上，对她这种口气只微感不快。,I was at the height of my excitement and the tone of her voice upset me a little.,"I am in a high spirits, feeling only slightly irked by her attitude.","I was in a good mood at that moment, only trying to keep them from having the sort of reaction I didn't like.","I was on a roll, and this tone only made me slightly uncomfortable.",I was on a roll and wasn't at all pleased with her tone.,I was in a good mood and found her tone slightly displeasing.,I was in a good mood and didn't like her tone.,I'm feeling a bit disappointed with her attitude towards me.</s>,I was feeling so happy that her tone bothered me a little.,"I am in high spirits, but I find her tone slightly displeasing.","I was in a good mood, but a little put out by her tone."
过了两日，得了空儿，仍找寻凤姐。,"And so two days later, as soon as he had some free time, he was back once more looking for Xi-feng.","After two days, I found myself empty-handed again; I continued looking for Qian Kexue.","After about two days' rest she went out again, but this time with Wang Xi on her sidearm.","Two days later, he found an opportunity and still went to look for Fanny.",A couple of days later Xi-feng's account of the afternoon was reported to have been cleared. Ay-couth was once more on the look-out for her.,"After two days, when he had a chance, he still sought out Lady Feng.","But having waited for two days, she found opportunity to seek Xi-feng again.","After two days, I finally found my sister-in-law.</s>","Two days later, having at last succeeded in getting himself a few moments' audience with Xi-feng, he poured out to her all the story of his adventure, and begged for her protection.","Two days passed, found some free time, still looking for Phoenix Sister.","Two days later, having now got some time off, he went in search of Xi-feng."
上海弄堂里的做人，是悉心悉意，全神贯注的做人，眼睛只盯着自己，没有旁骛的。,"The people in Shanghai's longtang neighborhoods conduct themselves with the utmost attention and care; all their energy is directed to the way they carry themselves. Their eyes are focused exclusively on themselves, and they are never distracted by their surroundings.","The Chinese translation of ""上海弄堂里的做人"" is: ""Being a good person in Shanghai's alleyways is being deeply attentive, concentrating on oneself, without wandering away.""","In the longtang of Shanghai, the thing to do is to be thoughtful,专心致志,只盯着自己。在弄堂里,是没有旁骛的。","Doing one's best, with all one's heart and soul, fully engaged in one's work, only looking at oneself, not distracted by anything else, is how it was done in the lanes of Shanghai.",People who live in Shanghai's longtang put their full hearts into everything they do. They focus all their attention on themselves and have no use for distractions.,"The people living in the alleys of Shanghai are meticulous and focused in their lives, concentrating solely on themselves without any distractions.","The people who live in the longtang of Shanghai are fully devoted to their own lives, concerned only with themselves, never distracted.","In the Shanghai alleyways, people are devoted to their work, fully focused and intent on their tasks. They don't look around or get distracted.</s>","In the longtang of Shanghai, people lived with their eyes fixed on their own goals, never once looking aside.","The behavior in the Shanghai alley is meticulous, with full attention and complete focus. The gaze is solely on oneself, without any distractions.",People in the Shanghai longtang live with their whole hearts and minds. They have no time for nonsense; their eyes are on themselves and themselves alone.
他从日本北海道的荒山僻岭中归国之后，双目深不可测，盯住什么就像要把什么烧焦似的。,"He returned to China from the mountains of Hokkaido with an unfathomable depth in his eyes, gazing at things as though he could will them to combust spontaneously.","After returning from Japan’s remote mountainous regions, he looked at everything with a gaze that seemed to be trying to burn away what was in front of him.","After returning home to China from Japan's Arashi Mountains, he looked more intimidating than anything, holding his head fixed and burning everything it saw.","After returning to China from Hokkaido, Japan, he stared at everything with his deep, unseeable eyes as if he were about to burn it all.","After his return from Japan, when he looked at us with those deep, impossible eyes, he seemed about to burn everything with a magnifying glass.","After returning to his homeland from the remote mountains of Hokkaido, Japan, his eyes were deep and unfathomable, as if anything he looked at was to be burned alive.","After his return from the backwoods of Hokkaido, his eyes had become implacable, as though anything caught in their gaze would be instantly burned up.","After returning from Japan's remote mountains, he stared intently at everything, as if he wanted to burn it all down.","His eyes, which had turned black as deep pits, stared at whatever he focused on as if he intended to burn it up.","After returning from the sparsely populated, remote mountainous region of Hokkaido, Japan, his eyes were deep and unreadable, fixed on something as if he was about to burn it.","After his return from the desolate mountains of Hokkaido, his eyes, which had grown deep and mysterious during his absence, focused on a particular target and seemed to want to burn it up."
但是垂不垂黑不黑的，不是你的事。,"As far as drooping or not drooping, dark or not dark, that's none of your business.'",But it is not your business whether you hang them up or not.,"Even if they were, it's not your business.","But not black and not black, that's not your business.","It doesn't depend on me, dammit.",But whether it hangs or is black is not your concern.,"But whether my pants are droopy or not, and whether my skin is dark or not – that's not up to you.","But whether it's black or not, it's not your concern.</s>",The fact that my eyebrows are getting dark is none of your business.,"However, whether it's white or black, it's not your concern.",But whether they're black or not is no concern of yours.
汪淼站起身来，但上校拉住了他，“教授，你不用管，他们会干得很好。”,"Wang stood up, but the colonel pulled him down. 'Professor, don't worry. They know what to do.'","Liang Xiaotie stood up but the captain pulled him aside, “Professor, you don’t have to worry about it; they’ll do a good job.”","Wang rose up, but the colonel stopped him. 'Professor, you don't have to look after them. They can handle it.'","Wang Mao stood up, but the colonel held him back, “Professor, don’t worry about it, they’ll do a good job.”","Wang got up, but General Li held him back. 'Professor, don't worry. They'll do it right.'","Wang Miao stood up, but Colonel Li held him back. ""Professor, you don't need to worry; they'll do very well.""","Wang got up, but the colonel stopped him. 'Professor, you don't need to worry about it; they will do a good job.'","Wang Ming stood up but the principal grabbed him, ""Professor, you don't have to worry, they will do well.""","Wang rose to his feet, but the colonel held him by the arm. 'Don't worry about them, Professor. They'll do a great job.'","Wan Wu stood up, but the headmaster pulled him back, ""Professor, you don't need to worry, they will handle it well.""","Wang got up, but the colonel held him back. 'Professor, you don't need to worry about it. They'll take care of it.'"
兄弟和梨洲兄推想，这次‘明史’一案所以如此大张旗鼓，雷厉风行，当是鳌拜意欲挫折我江南士人之气。”,Huang and I are both of the opinion that Oboi is at the back of this Ming History affair. The reason they are making such a song and dance about it and pursuing it with such ferocity is that he sees in it a means of breaking the spirit of the Southern gentry.',"Brothers and Li Hongzhi, who speculated that this ‘History of Ming’ case was so large-scale, so rapid, it must be intended by Kong Beiwei that he wanted to cripple my Jiangnan scholars' spirit.""","I can understand why Brother Li and you have set about推行这'Maohist' policy with such vigour; you both sense that the plot is intended to severely damage the spirit of the Manchu race, and that they must do everything in their power to implement it.'","Brothers and Liuzhoushou conjecture that this great publicity, haste, and severity with which the ‘History of the Ming Dynasty’ case has been handled is due to Kangxi’s intention to crush the spirit of the literati in the Jiangnan region.”",I think we're right to assume that this show of strength is part of Oboi's plan to crush the rising power of southern scholars and students.',"Brothers and Brother Liuzhou surmise that this case of the 'Ming History' was so vigorously and swiftly handled precisely because Aobai wished to dampen the spirits of scholars in Jiangnan.""",Brother Liou and I were discussing this yesterday. There's no doubt that the way this Ming History business is being conducted is part of Oboi's deliberate plan to crush the spirit of the scholars of the Jiangnan Province.',"Brothers and I were thinking that this time the 'Ming History' case was so big and loud, when we saw the wind blowing fiercely, it was because of Phakapa's intention to crush the spirit of the scholars in Jiangnan.","'I suppose Brother and Lyuli must be right,'said Musk, 'in thinking that this is why the Manchu Court has made such a big issue out of this Ming History business. They want to crush the spirit of Southern scholars.'","The brothers and Liuzhou brother conjectured that the case of 'Ming Shi' was so grand and imposing, with a fierce and intimidating manner, was intended to suppress the spirit of the scholars of the Jiangnan region.","It must have been to make an example of me, to crush the morale of the Southern gentry. Oboi has always been afraid of them.'"
后来我活过来了，说道：换换，你看我的，我就翻到上面去。,After a while I came back to life and said: Let's switch. Here we go. So I rolled over onto her body.,"I then came back from the dead, saying: ""Come, see my work; I'll look at it here.""","Later on, I'd recovered my senses, said, Change, find me something to read. I turned it over and you could see the top!","I survived later, and said: ""Let's change it. Look at me, I'll flip it over.""","But then I got better and could stand on my own again. So she changed places with me, lying on my back.","Later, I survived and said, ""Switch, watch mine, and I'll turn up.""","But I pulled through. I said, Let's swap, let me show you mine, and I flipped over to the other side.","After I survived, I said, ""Let's switch places, and I'll go back to the top.""</s>","When I finally recovered and came back, I said, Swap swap! Let me see yours first, and then I'll flip over.","Later, I survived and said: Change, look at mine, I will climb up there.","After a few minutes I came around and said, Change me, too. I want to see the other side."
我们结了账，走到街上去。,We checked out and walked in the street.,We paid our bills and walked down the street.,We charged our bank and went to the street to pay our bills.,We checked out and went down the street.,"When we finished our bill, we walked out of that shop.",We settled the bill and went out onto the street.,We checked out and walked back to the street.,We settled our bill and walked out onto the street.</s>,We settled our bill and walked out onto the street.,We settled the account and went to the street.,We settled our bill and walked out onto the street.
群狗一哄而散，坐得远远的，呜呜地咆哮着，贪婪地望着死尸。,"The howling dogs scattered, then sat on their haunches once they were out of range, setting up a deafening chorus of angry barks as they gazed greedily, longingly at the corpses.","A group of dogs ran away, sitting far away, barking and looking at corpses.","The dogs scattered across the area, their heads nesting in their paws and screech-tinged eyes extending with longing for corpses.","The pack scattered as one, running off far away and howling pitifully, greedily gazing at the corpse.","The pack dispersed as if on a thunderbolt, some of them standing far away to gloat and growl at the dead dog's body.","The pack of dogs scattered in a frenzy, sitting far apart, howling mournfully as they hungrily eyed the corpse.",The dogs scattered in fright and barked at the carcass with greedy eyes.,"The group of dogs scattered in a frenzy, sitting far away and howling mournfully, greedily staring at the corpse.</s>","The pack scattered in pursuit of their prey, snarling obscenely as they devoured the corpse.","Dogs gathered and dispersed, sitting far away, wailing and howling, greedily gazing at the corpse.","The pack broke up, each dog going his own way, but keeping a safe distance from the corpse, which they stared at with greedy eyes."
韦小宝道：“我跟海老公。”,'I'm with Hai Goong-goong.',"Wu Shangbo said, ""I'm with your father.""",I've got an old eunuch problem.',"Wu Xiaoping said, ""I'm with Captain Hai.""",I've got to see Old Hai.',"Wēixiǎobāo: ""Wǒ guān hǎi ăncóng.""",I'm working for Old Hai.',I am going to marry Hailong.</s>,"'With the Old Devil,' said Trinket.","Wei Xiaobao said: 'I am with my husband.'""",With the Old Devil.'
平安里的夜晚其实也是有许多想头的，只不过没有王琦瑶窗帘上的大花朵，映显不出来罢了。 许多想头都是沉在心底，沉渣一般。 全是叫生计熬炼的，挤干汁，沥干水，凝结成块，怎么样的激荡也泛不起来。,"There was a great deal of thinking going on around Peace Lane, but much of it, like sediment, had sunk to the bottom of people's hearts, all the juice squeezed out of them, so that they had solidified and could no longer be stirred up.","The night of Peace Village is also full of desires, but it does not have the large flower curtains on Wang Qian'er’s curtains. That just makes it look like she has no desire at all. Many desires are hidden deep inside, they are like a thick layer that can’t be squeezed out.","In fact, late at night in Peace Lane there is not a single intriguing prospect in sight, except for Wang Qiyao's windowless room, whose flowers on her door have dried up. Many of them sink deep into one's soul and are eliminated by the sanding machine, where they evaporate like steam.","There is also much to think about in Peaceful Street at night, but it cannot be seen because there is no big flower on the curtains of Wang Qiyue's house. Many thoughts are buried deep in one's heart, like silt. They are all forced by life to survive and grind down until they become a solid block. How could anything so turbulent come up?","Underneath the tranquil surface of Peace Lane, however, one has as many thoughts as Wang Qiyao's, which simply cannot be brought to the fore because of the thick layer of sediment that has accumulated. Such thoughts sink to the bottom of her heart, to be brewed into something strong through the exertions of real-life chores and demands.","The nights in Peaceful Lane indeed held many possibilities, though not as vivid as the large flowers on Wang Qiyao's curtains. Many of these possibilities lay hidden deep within, like sediment. They were all shaped by the struggle of survival, squeezed dry, drained, and coagulated into a solid form; no amount of turmoil could bring them to the surface.","Underneath the quiet of those平安里夜晚其实 also reside many desires, though not the blossoms on Wang Qiyao's curtains; the exertions required to survive seem to extract all the fluidity from life, compressing it into a form in which individual desires sink to the bottom and dissolve into a thick sludge.","In the peaceful nights, there are many thoughts that exist, but they do not appear on the big flowered curtains of Wang Qiuyao's window. Many of these thoughts are like sediment that settle at the bottom of the heart, and no matter how much they are stirred, they cannot be released. They are the result of enduring hardships and struggles, and have become hardened and concentrated over time.</s>","Peace Lane at night is also the scene of many an adventure, but the blossoms on Wang Qiyao's curtains do not always catch the light. Many of her adventures sink to the bottom of her heart, where they settle like sand at the bottom of a jar. Through the long process of making a living, all the juice is squeezed out, leaving behind only the concentrated essence; no amount of stimulation can make it respond.","The night in Ping'an is indeed filled with many worries, but they are not as vivid as the large flowers on Wang Jiaoyao's window curtains. They are mostly buried deep within, like sludge. They are all about struggling to make ends meet, squeezing out juice, draining water, solidifying into lumps, but they cannot boil up in any way.","Under the cover of darkness, Peace Lane is alive with all kinds of speculation; but without the large flowers on the curtains, these rumors and gossip remain hidden. Most of the gossip is subterranean, like sediment at the bottom of a pot, from which no stirring up of the liquid can produce any result."
这种弄堂的房屋看上去是鳞次栉比，挤挤挨挨，灯光是如豆的一点一点，虽然微弱，却是稠密，一锅粥似的。,"Apartment structures are built virtually on top of one another, cheek by jowl, breathing down upon each other's necks. Their lights are like tiny glowing peas, not very bright, but dense as a pot of pea porridge.","These shophouses look like they're clustered together, crowded together, with lights so faint that they're barely visible; yet they're dense, as if a soup was boiling.","The longtang buildings appear to be packed tightly onto each other, with dots of light seeming to slithereardrops of paint on tiny grains of light. Like bowls and crocks holding as many beans, the lighting is sparse even though it is abundant.","The houses of this narrow lane look like they're a jumble, crammed together and lit up by flickering lights that are barely visible, yet dense enough to seem like a pot of soup.","On the surface, these longtang appear to be a mess, with buildings of different sizes and shapes crammed together, their dim lights giving off a vague glow.","The houses in such alleys are packed like fish in a barrel, crammed together tightly. The lights are dim, like tiny beans, though feeble, they are dense, resembling a pot of porridge.","At first glance these longtang seem to be comprised of buildings that grow up next to each other in a crowded pattern, illuminated by a multitude of dim lights scattered about like bean-size dots, thick and dense like the grains in a pot of porridge.","This house looks like a row of closely packed buildings, with the lights dimly flickering like a tiny speck of dust. Although they are weak, they are dense, like a pot of thick soup.</s>","The buildings look crowded and cramped from the outside, the lights flickering like fireflies, yet dazzlingly bright, like a pot of boiling soup.","This type of courtyard house appears to be a jumbled comparison to a comb, tightly packed and closely spaced. The light is like scattered beans, although weak, it is dense, resembling a pot of porridge.","The longtang in the Shanghai neighborhoods appear to have been built haphazardly, with buildings so close together that they seem to be leaning in on one another. The illumination from the windows is like tiny dots, so weak that one might think it insignificant—but when placed together, these dots form a thick soup of light."
薛蟠道：“要不是，我也不敢惊动：只因下月初三日，是我的生日，谁知老胡和老程他们，不知那里寻了来的：这么粗，这么长，粉脆的鲜藕；这么大的西瓜；这么长，这么大的暹罗国进贡的灵柏香熏的暹罗猪、鱼。,"'Look,' said Xue Pan. 'I wouldn't have troubled you otherwise, only it's my birthday on the third of next month and old Hu and old Cheng and a couple of the others, I don't know where they got them from but they've given me: a piece of fresh lotus root, ever so crisp and crunchy, as thick as that, look, and as long as that; a huge great melon, look, as big as that; a freshly-caught sturgeon as big as that; and a cypress-smoked Siamese sucking-pig as big as that that came in the tribute from Siam.","Peng Ben said that he would not have dared to disturb him if it were not for his birthday: because on the 3rd of January, it was my birthday, but I did not know where they had come from. It was quite coarse, long, and so soft; it was a large fresh pumpkin; it was so big that it resembled a giant fish.","I'm afraid I couldn't manage it on my own,' said Bao-yu, 'because by the time the month's end there must have been already gone over half a dozen or more corsages and several hundred flowers for him to choose from. They would have cost quite a lot of money, and besides he doesn't seem to have got these from anyone ordinary; he must have gotten them from some experienced people.","Wang Xiaopan said, ""I wouldn't have done it if I hadn't been ordered to."" He had only dared to do so because the day before last was his birthday, and he happened to meet some people who were not very familiar with him: a big, long, fragrant lotus root; a large watermelon; a pig and fish that were sent by the Siamese court as a gift of respect.","I wouldn't have asked for help if I didn't need to, but it's my birthday on the threerd of the following month and so when I found a fucking thick one down at Uncle Hu's place and a really fucking nice, really fucking long one at Great-Granddad's, I was a bit worried they'd all been brought in by some old chum of theirs who goes hopping all over the place like,' said Trinket. 'And what did I find when I cut open the fucking thing? A fucking big, fucking nice, fucking Hmong pork buns and a fucking big fucking Siam elephant-scented pineapple!","Xue Pan said, ""If it wasn't, I wouldn't have dared to disturb you: only because on the third day of the first lunar month, it was my birthday. Who knew that Old Hu and Old Cheng found such things from who knows where: so thick, so long, fresh lotus root; such large watermelons; such long, such large Siamese tribute of fragrant cypress wood-smoked Siamese pigs and fish.""","I'm sure I wouldn't dream of troubling you if it wasn't for the reason that it falls on the third of the first month tomorrow that my birthday is to be celebrated,' said Xue Pan. 'I was wondering where they could have got all these things from: this nice, fresh, crisp water-atom, for example; and this large, perfectly round watermelon; and these long, thin, aromatic rosewood pigs and fish from the Siamese Court.","""Ah, I wouldn't dare to disturb them. It's because next month on the third day, it's my birthday. Who knew that old Hu and old Chen found these things somewhere? They're so thick, so long, and so crispy. And these are such big watermelons. They're so big, and they're from Siam. And these are such long, fragrant Siamese incense sticks. They must have come from Siam. And these are such big, smoky Siamese pigs and fish.""","'I hadn't,'said Whiskers. 'But it is my birthday, the third of the first month. And how do you think Hu and Cheng and the others got all this stuff? There's so much of it! And it's all so excellent! There are the Alouatte ginger-infused Borneo pork and the Alouatte honeydew melons, and the Tibetans' Borneo pepperkins...","Xuanzong Dao: ""Perhaps I wouldn't dare to disturb: only because the third day of next month is my birthday, who knew that Old Hu and Old Chen came from afar: so coarse, so long, fragile and pink lotus; so big the watermelon; so long, so big the Xiaoxia brocade from Xiping tribute of spirit tree incense-infused Xiaoxia pig, fish.""

Translation: Xuanzong Dao: ""Perhaps I wouldn't dare to disturb, as it's my birthday next month. I didn't expect Old Hu and Old Chen to come from afar. They brought such coarse, long, fragile, pink lotus; such a big watermelon; such long, big Xiaoxia brocade from Xiping tribute, infused with spirit tree incense, for pigs and fish.""","If I hadn't been born on the third of the next month, I shouldn't have been worried about offending them by refusing, but as it is my birthday, I thought it wouldn't do to offend them by refusing."
麻雀肉味鲜美，营养丰富。,They were delicious.,"Pigeon meat is delicious, rich in nutrition.",Sparrows' meat is deliciously fresh and rich with nutritional elements.,The pheasant meat is delicious and nutritious.,"The meat of the sparrows is extremely fresh and delicious, and also very nutritious.",The flesh of the quail is delicious and rich in nutrients.,Sparrows are deliciously tender and rich in nourishing nutrients.,Chicken meat is delicious and nutritious.</s>,Sparrow meat is very nutritious and delicious.,Crow meat tastes delicious and is nutritious.,"It tastes delicious,' said the doctor. 'And very nutritious."
为此她没少发牢骚，严先生枕头上也立下千般愿，万般誓，不料公私合营，产业都归了国家，能保住一处私房就是天恩地恩，花园洋房终成泡影。,"In response to her complaints, he had, in bed, promised many times to move them to a house with a garden. Now that their assets were controlled by the government, they felt lucky simply to be allowed to keep their house.","For her part, she had complained a lot about Mr. Chen’s bed, but Mr. Chen also left behind countless wishes for her, all of which were not fulfilled by the state-owned enterprise and the real estate industry. The end result was that she could no longer secure one private house as God’s favor or heaven’s grace.","For her part, she had made a big mess while taking over the business; Mr. Yan,枕上百般愿意，眠中万般眷恋，终于只成一句:「恩恩，当地政府分给我们的这笔巨款，我已向天报到了，恳请皇上立即发赈，将这处我们各自所有但共建不造的私人花园弄平，新建一栋为国尽忠、为士子耕种的豪华大宅！」","For this, she had been complaining incessantly, and Mr. Yan had pledged his thousand words and ten thousand vows on the pillow that all private property would be taken over by the state, and that even if he could save a private house, it was as if heaven and earth were gifting him with such a privilege. The garden villa turned out to be nothing but a dream.","Madame was furious. And Mr. Yan made a thousand promises and oaths that he would never allow their home to be nationalized, but then state-run enterprise became reality and the answer was no to her request for a apartment in the backyard.","For this, she had complained endlessly, and Mr. Yan had made countless vows and oaths on his pillow. But when the private businesses were consolidated into state enterprises, all their properties were seized by the state. It was considered divine grace to be able to keep even one private house intact. The dream of a garden villa finally turned out to be just a bubble.","For this reason, she had often complained, while her husband solemnly pledged himself to her in front of the wedding pillow only to break his promises when, nationalization came along and the government took away all their property except a single townhouse which, thanks to divine intervention, was the now-garden apartment they had dreamed of.","She grumbled incessantly, and even her husband's pillow had thousands of promises written on it. But despite their joint efforts, their business ended up being nationalized, and they could only keep a small private room. The garden villa became a mirage.","For this she had plenty to be grateful for, and Mr. Yan, resting his head on hers, made all kinds of vows and pledges, promising with equal zeal to repay her kindness with his own. Never, he vowed, would he allow the state to take over their joint enterprise; he would fight to the death to keep their private property safe. In the end, however, it was the state that got everything. The fruit of their joint venture became a mirage, the mansion and garden a vanished dream.","For this, she didn't lack flirtatious remarks, Zhang Laoshi also placed countless wishes and vows on his pillow, unexpectedly, public and private enterprises merged, all industries fell into the hands of the state. Keeping one private property was considered a blessing from heaven and earth, the garden villa eventually became a fleeting shadow.","Consequently she was not slow in making up her mind what to do, and by the time that Mr. Yan had got used to his new bed, he had already drawn up a thousand and one plans for their future life together. However, the merger of public and private enterprise into a single state-run industry had left no room for a private household like theirs, and the beautiful garden mansion had gone the way of all such enterprises—into oblivion."
程先生笑了：我当然明白的。,"Mr. Cheng laughed, 'Of course I do.'",Mr. Cheng smiled: I understood it.,Mr. Cheng laughed. 'Of course I understood.,Mr Cheng smiled: Of course I understand.,"I understand that very well, Mr. Cheng,' Mr. Chang said with a smile.",Mr. Cheng smiled: Of course I understand.,Mr. Cheng laughed. 'I know that much already.,"Mr. Chen smiled: ""I understand.""",Mr. Cheng laughed. 'Of course he did.,Mr. Chen laughed: Of course I understand.,"I wouldn't have guessed that you would have needed me to explain it to you,' said Mr. Cheng, laughing."
韦小宝一鼓作气的走来，身上的疼痛倒也可以耐得，给蕊初这么一问，只觉得全身筋骨无处不痛，忍不住哼了一声。,The effort of getting to this appointment had absorbed so much of his attention that it had almost taken his mind off the pain; but as soon as she asked the question he became aware that he was hurting dreadfully all over and groaned in spite of himself.,"With a wave of his arms, Wang Xiaobang came forward with a burst of energy, and he could bear the pain that was on his body as well. To ask Lu Xianxiao this question, all of his body's muscles were in pain. He couldn't help but laugh when he heard her reply.","Trinket came running over, injured arm still at his side. He could bear the pain; but when he asked Blossom how she was, he only found himself smiling uneasily because of the agony in his body.","Wu Xiaohong came walking towards him, his pain could bear. To the question of Rui Chu, he felt that every part of his body was in agony and couldn’t help but let out a cry.","Trinket hurried over the as much as he could. He had the strength, he thought, to withstand the pain if he did, but when Blossom asked him what it was, all over his body seemed to go churning, and he cried out in agony.","As Wei Xiaobao made his way forward with a burst of energy, the pain on his body was somewhat tolerable. However, upon being asked by Rui Chou, he felt a pain in every bone and muscle throughout his body, and he couldn't help but let out a sigh.","Trinket had covered a considerable distance on foot, and though the pain in his side was bearable, the answer to Blossom's question seemed to affect every bone and sinew in his body and he winced uncontrollably.","Wu Xiaobao took a deep breath and walked towards him, ignoring the pain in his body. He asked Qin Ersheng, ""How are you feeling?"" Only then did he realize that his entire body was aching and he couldn't help but let out a groan.</s>","Trinket summoned up enough strength to stand up, and in so doing seemed to have driven all the pain from his joints to the surface of his skin, for he gasped as the contraction of the muscles caused every nerve to tingle.","Wei Xiaobao walked over with determination, enduring the pain on his body. When he asked Liu Qi for something, he felt every bone in his body ached, and he couldn't help but let out a sigh.","Trinket pressed on, forcing himself to ignore the pain. 'I'm fine,' he said. 'What's wrong with me?'"
看了心里有点欢喜，还有点起腻。 因她们站得远，听不见那里在说什么，只见有一个穿睡袍的女人躺在床上，躺了几种姿势，一回是侧身，一回是仰天，还有一回只躺了半个身子，另半个身子垂到地上的。 她的半透明的睡袍裹着身子，床已经皱了，也是有点起腻的。,"Standing there watching they were quite excited, but at the same time irritated because they were too far away to hear what was being said on set. All they could see was a woman in a sheer nightgown lying on a bed with wrinkled sheets. She tried to lie in several different positions; on her side one moment, on her back the next, and for a while even in a strange position where half her body extended off the bed onto the floor. All this became somewhat boring.","I had a bit of joy at first glance but also some unease. For these women stood so far away, they could not hear what was said there, and there was a woman wearing a sleeping robe who lay on several different positions. She was lying sideways, bent over, and then she was leaning against the wall. Another one lay facing the wall with her legs stretched out flat, while the other half of her body was hanging off the ground. The half-hidden sleepwear was covering her body. The bed was wrinkled as well. It was a little too much for me to stand in front of.","The sight of them standing outside the curtain made its way inside her heart a little, even though all she could see was the direction in which they were lying. They were a couplee, on their side, with a bed already set up; another was on her back, stretched out on her hands and knees; and a third, one of the women guessed, had somehow rearranged herself so that her body was tilted towards the headboard and that she was lying on her back with her legs over the edge of the room—a single sheet covering nothing but her shoulders. The last picture showed her body completely outside of the sheet, showing clearly how it was beginning to show age.","There was a little happiness and a little boredom in my heart as I read this, for they were standing too far away to hear what was being said there, so all I could see was one woman lying on her bed, laying in various positions, first with her back turned, then with her face up, and the other time only half of her body was laid down while the other half was hanging down to the ground. Her transparent nightgown covered most of her body, and the bed was already wrinkled.","Wang Qiyao's heart averted joy was mixed with distaste. She kept at arm's length so as not to miss anything, but she couldn't help noticing how awkward they looked standing there. The one woman, wearing a transparent nightie, lay on her side; the other, on her back; and another, only the top half of her body was exposed, her legs dangling off the side of the bed. The thin, translucent nightie added nothing to her elegance; the bed was pitted with wrinkles, and the scene was a little disgusting.","The sight stirred a mix of pleasure and weariness within me. The distance between us prevented me from hearing their conversation, but I could see a woman in a see-through robe lying on a bed, changing positions repeatedly. She lay on her side, then facing upwards, and once half her body was stretched out while the other half hung down. Her translucent robe clung to her body, causing the bed to wrinkle slightly, which was also somewhat off-putting.","He felt a twinge of something when he saw this woman lying in different positions on the bed—perhaps lust, perhaps aversion. The other two could not hear what was being said but could see a woman in a nightgown lying on the bed. They saw her change positions several times: once on her side, another time facing up, then almost all the way up to her waist, the other half of her body hanging down. The see the transparent nightgown clinging to her body, the bed protesting against the pressure of her weight—a scene that, like the sounds from the studio, somewhat bored her.","Looking at her, I felt a bit happy, but also a bit uneasy. Because they were far away, I couldn't hear what they were saying, but I could see a woman lying on the bed, posing in different ways. She lay on her side, then on her back, and once with only half her body lying on the bed, with the other half hanging down. Her semi-transparent sleepwear was wrapped around her body, and the bed was wrinkled, with a bit of an uneasy feeling.</s>","Wu Peizhen felt a strange sense of disgust. She was too far away to hear what they were saying, but could make out that the woman in the doorway was lying on the bed, alone, in a state of extreme relaxation, the transparent garment she had on clinging tightly to her body. The sheet under her had become rumpled and dirty.","I felt a little joy in my heart, yet a bit tired. Since they were far away, I couldn't hear what they were saying, only seeing a woman in a nightgown lying on the bed, trying various poses, one was lying on her side, another was looking up to the ceiling, and there was also one where only half her body was on the bed, the other half hanging down to the floor. Her semi-transparent nightgown wrapped her body, and the bed was wrinkled, also a bit tired-looking.","But at the same time she was a bit bored, since they were so far away that she could not make out what they were saying. She could, however, see a woman lying on the bed. The woman slept in various positions: first on her side, then looking up at the ceiling, and finally with half her body on the bed and the other half hanging over the side. The woman was wearing a transparent smock, and the bedsheets were all wrinkled, as if the woman had slept there many times before."
它们是上海弄堂的思想，昼里夜里都在传播。,"They are the thoughts of Shanghai's longtang, disseminating themselves through day and night.","They are the Shanghai neighborhood idea, spreading during daylight and at night.","These longtang have thought about life and its limitations, and night has taught them the importance of sunlight.","They are the thoughts of Shanghai's lanes, spreading day and night.",It is the thinking of the longtang that spread between day and night.,"They are the thoughts of Shanghai alleyways, spreading day and night.","These are the ideas of Shanghai's alleys, passing back and forth all day and all night.","They are the thoughts of the Shanghai alleyways, spreading throughout the day and night.</s>","It is the gossip of Shanghai's alleys that spreads everywhere, day and night.","They are the thoughts of the Shanghai lanes, spreading day and night.",Gossip is the consciousness of the Shanghai longtang—it floats around all day and all night.
“会伤及无辜吗？”,'Will innocent bystanders be hurt?',Is it likely that a person will be injured?,Will it damage innocent people?',"Will it harm innocents?""",Will it harm someone other than the target?',"Will it harm the innocent?""",Would it harm innocent people?',"""Will it harm the innocent?""",'What innocent lives might be lost?',"Will the innocent be harmed?""",Will it hurt a lot?'
那小孩点头道：“我明白了。,"'I know,' said the boy.","The child nodded his head and said: ""I understand.""",The boy nodded.,"The child nodded and said, ""I understand.""",The boy nodded. 'I think I understand.,"The child nodded, saying, ""I understand.""",The boy nodded. 'I understand.,"""I understand.""","'Yes,' said the boy. 'I see.","The child nodded: ""I understand.""",The boy nodded. 'I know what you meant.
