chinese	english
晚上我在水泵房点起汽灯，陈清扬就会忽然到来，谈起她觉得活着很没意思，还说到她在每件事上都是清白无辜。	When I lit the gas lamp at the pump house, Chen Qingyang would often arrive unexpectedly and complain that life was meaningless. She also said that she believed she was innocent in every respect.
这种想法也不是没有道理，傍晚时我就想打军代表一枪。	This concern was not completely unreasonable. By the evening I really began to consider taking a shot at the military deputy.
叶文洁无言地抱起冬冬走了，以后再也没有回去过。	Without a word, Ye bent down to pick up Dong Dong and left. She never returned.
会场很快空了下来，只剩下一个姑娘站在台下。	The exercise grounds soon emptied, leaving only one young woman below the stage.
因为会场上喊口号，我在屋里也能听见。	People were shouting slogans at the meeting that I could hear even from my room.
几十个鬼子在他身后走着，大皮靴踩得沾霜枯草咯崩咯崩响。	Dozens of Japs fell in behind him, their leather boots crunching across the frost-covered grass.
会不会柱子首先被割断呢？”	Maybe the pillars would be sliced apart first.'
她们疑心走错了地方，要重新去找，却听表哥叫她们，原来，收拾东西的人里头就有表哥。	The girls wondered if they had gone to the wrong place and were about to go look elsewhere when Wu Peizhen's cousin suddenly called out to them. As it happened, he was one of the workers breaking down the set.
它有着粗俗的内心，它难免是自甘下贱的。	With this vulgar heart, it cannot help wallowing in self-degradation.
再看那镜子里的美人，也不那么生分和隔膜了。	As she returned the gaze of the beauty in the mirror, the image she saw no longer seemed quite as distant and unrecognizable.
只因他并不是真的太监，这才要想了一想之后方能明白，否则钱老板第一句话他就懂了。	It was because he wasn't a real eunuch that he hadn't grasped sooner what the embarrassed butcher was getting at.
韦小宝道：“我早知你见了要笑。”	'I knew all along it would only make you laugh,' said Trinket.
“唱个曲儿给哥哥们听，哥哥抬着你哩！”	'Sing us a song while we bear you along!'
陈近南道：“江山易改，本性难移，改是改不了多少的。	'It's easier for the earth to leave its moorings than for a man to change his nature,' said the Helmsman. 'You won't be able to change very much.
“你走了我们给你赶牛哇？	'You want to run off and leave us to herd your buffalo?
我怎么就忘了你两三个月！”	It must be two or three months since I first forgot our appointment!'
韦小宝一骨碌从床上跃下，走到他床前，海老公摸到他后腰一处所在，轻轻一按，韦小宝便觉全身酸软无力。	Trinket hopped out of bed and was at Old Hai's bedside in a trice. The old eunuch felt around in the small of his back and pressed lightly. Trinket felt his whole body go limp.
单家开着烧酒锅，以廉价高粱为原料酿造优质白酒，方圆百里都有名。	As distillery owners, the Shans used cheap sorghum to produce a strong, high-quality white wine that was famous throughout the area.
先是每天痛半个时辰，痛得也不很凶，以后越痛越厉害，痛的时刻也越来越长，大概到一年以后，那便日夜不停的大痛，要痛到你将自己脑袋到墙上去狠狠的撞，痛得将自己手上、腿上的肉，一块块咬下来。”	To start with you'd just have about half-an-hour's pain every day, not very severe. Then, as time went by, it would get gradually worse and the periods when you felt it would get longer. After about a year you would be in pain continuously, night and day, and the pain would get so terrible that in the end you would be dashing your head against walls and tearing the flesh of your arms and legs with your teeth, '
除了这些人，猪场里的猪也喜欢我，因为我喂猪时，猪食里的糠比平时多三倍。	Other than those people, the pigs in the farm also liked me. That was because when I fed them, I used three times more bran than others did.
在十五队后山上，陈清扬有一回很冲动，要给我生一群小崽子，我没要。	On the back slope of the fifteenth team, Chen Qingyang, seized with an impulse once, said she was going to bear a litter of young for me, but I wasn't interested.
把小郡主藏在宫里，果然是好计，沐王府的人一来想不到，二来救不出。	Still, it does seem the best plan to hide her in here. As he says, it's the one place they will never think of looking; and they'd never be able to get her out of here, even if they did.
这就是我对它的印象。”	Those are my impressions.'
那天晚上，所有的房屋都烟飞火灭之后，我家那几十间房屋还在燃烧。 我家的房子燃烧时放出一些翠绿的火苗和一股醉人的酒味，潴留多年的酒气，都在火中升腾起来。	That night, after the smoke and sparks from the other houses had died out, our buildings were still burning, sending skyward green-tinged tongues of flame and the intoxicating aroma of strong wine, released in an instant after all those years.
这种牛阴囊紧缩，阳具挺直。	This sort of bull had tightly packed balls and protruding penises.
爷爷蹲在河堤上，双手抱头，唏嘘片刻，忽而扬头大叫：“豆官！ 我的儿，咱爷们，就这样完了吗？”	He knelt at the top of the dike, holding his head in his hands and sobbing. After a moment, or two, he looked up and cried out: 'Douguan, my son! Is it all over for us?'
贾芸笑道：“虽那么说，叔叔屋里的姐姐们，我怎么敢放肆呢。”	'I know,' said Jia Yun. 'But a body-servant! I don't like to presume.'
迪斯科舞厅中最疯狂的一伙也是他们。	They were the wildest ones on the dance floor at the discos.
“混帐! 如何吓我!	'Silly old fool, to scare me like that! ---
贾瑞听了，喜之不尽，忙忙的告辞而去，心内以为得手。	Jia Rui was beside himself with delight and hurriedly took his leave, confident that the fulfilment of all he wished for was now in sight.
我当然是第一个要敬程先生酒的，就像方才严师母说的，“黄金万两容易得，知心一个也难求”，要说知心，这里人没一个比得上程先生对我的，程先生是我王琦瑶最难堪时的至交，王琦瑶就算是有一万个错处，程先生也是一个原谅，这恩和义是刻骨铭心，永世难报。	'Naturally, I should have been the first one to toast Mr. Cheng. Just as Madame Yan said, it is easier to find ten thousand ounces of gold than a true friend. No one else here understands me the way Mr. Cheng does. He has always been there for me during my most difficult times. And for all the mistakes I have made, he has always forgiven me. I owe him a debt of gratitude that I will never be able to repay.'
韦小宝无可奈何，不肯认输，便将剪尖在她脸上轻轻划来划去。	And since Trinket was unwilling to admit defeat, there was nothing for it but to begin moving the point around on her cheek.
我吻她的嘴，她没反对。 这就是说，她的嘴唇很柔软，而且分开了。	I kissed her mouth, and she didn't object—that is to say her lips were soft and parted.
韦小宝也是十分高兴，心想：“人家叫我‘公公’的叫得多了，倒没什么人叫我‘韦爷’，哈哈，老子是‘韦小宝韦爷’。”	Trinket, for his part, was extremely tickled to be called 'Mr Wei'. Even his surname—his mother's actually, since his paternity was unknown—was seldom used; but never in his life before had anyone called him 'Mr'. Well!' he thought. 'I've heard plenty of 'Goong-goongs' recently; but not 'Mr'. Ha ha! Now I'm 'Mr Trinket Wei'.'
这时，从被父亲他们甩在身后的村子里，传来悠长的毛驴叫声。	Now Father and the others could hear long-drawn-out brays from the mules they had left behind in the village.
这条狭窄的土路在白天颜色青白。 路原是由乌油油的黑土筑成，但久经践踏，黑色都沉淀到底层，路上叠印过多少牛羊的花瓣蹄印和骡马毛驴的半圆蹄印，马骡驴粪像干萎的苹果，牛粪像虫蛀过的薄饼，羊粪稀拉拉像震落的黑豆。	During the day it had a pale cast; the original black earth, the colour of ebony, had been covered by the passage of countless animals: cloven hoofprints of oxen and goats, semicircular hoofprints of mules, horses, and donkeys; dried road apples left by horses, mules, and donkeys; wormy cow chips; and scattered goat pellets like little black beans.
西区的公寓弄堂是严加防范的，房间都是成套，一扇门关死，一夫当关万夫莫开的架势，墙是隔音的墙，鸡犬声不相闻的。 房子和房子是隔着宽阔地，老死不相见的。	On the western side of the city, the apartment-style longtang take an even stricter approach to security. These structures are built in clusters, with doors that look as if not even an army of ten thousand could force their way inside. The walls are soundproof so that people living even in close quarters cannot hear one another, and the buildings are widely spaced so that neighbors can avoid one another.
可信的材料应该是，我和陈清扬有私情。	A convincing confession would be that Chen Qingyang and I were having a love affair.
韦小宝道：“没…… 没什么。”	'Oh . . . nothing.'
小玄子笑道：“再打一百次，你也…… 也…… 也是个输，你有胆子，明天就再来打。”	Misty laughed. 'If we fight a hundred times, you'll. . . you'll always lose! If you've got the guts, come again tomorrow!'
吕留良不等他辞毕，拍案而起，大声道：“亭林兄此言责备得是。	Before he could finish, Lü struck the desk with his hand and jumped to his feet, loudly disclaiming his own weakness, 'You do right to rebuke me, Yanwu.
问案的人开头还在问，后来也懒得吭声。	The investigators asked us questions at first, but got lazy after a while.
又过了一天，康明逊果然来了。	The next day, Kang Mingxun indeed came by to call on Wang Qiyao.
至吴玉峰题曰《红楼梦》。	Wu Yu-feng called it A Dream of Golden Days.
总是他一个人排着，然后家里老老少少的来到。	He explained that he was the one who usually got stuck holding a place in line for the rest of the family; once it got to close to his turn, everyone else would show up.
世界上还没有一个男人能叫她肯当着他的面叫出来。	There was no man in this world who could make her scream in front of him.
父亲凑上前去，看清了王文义奇形怪状的脸。	Father pressed forward to catch a glimpse of the strange look on Wang's face.
刘老老笑道：“我的嫂子! 我见了他，心眼儿里爱还爱不过来，那里还说的上话来？”	'My dear,' replied Grannie Liu with a laugh, 'when I saw the pretty little darling sitting there, I took such a liking to her that my heart was too full to speak.'
是了，他知道皇上对我好，告状多半告不进。	I suppose it's because he knows the Emperor likes me and is afraid he might not do anything about it.
宝玉含羞央告道：“好姐姐，千万别告诉人。”	'Please, Aroma,' Bao-yu shamefacedly entreated as she helped him change, 'please don't tell anyone!'
他们的行迹藏头露尾，有些神秘，在平安里的上空散布着疑云。	But on the whole they like to keep to themselves, adding an air of mystery to the neighborhood.
他走后，又有一帮孩子爬上窗台看，正看见我被烟熏的睁一眼闭一眼，样子非常难看。	After he was gone, a gang of boys climbed up to the window ledge to see me. Right then the cigarette smoke choked me, and with one eye open and the other closed I looked terrible.
贾芸想道：“怪道叫‘怡红院’，原来匾上是这四个字。”	'So that's why it's called 'The House of Green Delights'' Jia Yun told himself. 'The name is taken from the inscription.'
这地方的老傣不关牛，天一亮水牛就自己跑出来。	Since Thai people here didn't pen their buffaloes, they would ramble at daybreak.
“是，但对我来说是最没有印象的一次战争，只记得在梵蒂冈大使馆前为被包围的诺列加总统播放杰克逊的摇滚舞曲《无处可逃》，那是我的主意。”	'Yes, that was one of those wars that left me with no impression. I only remember being in front of the Vatican embassy as 'Nowhere to Run' by Martha and the Vandellas played for the holed-up Noriega. That was my idea, by the way.'
脚上穿高筒雨靴，除此之外不着一丝。	She wore high boots, and nothing else.
事先他给她往班上打了电话，约好在提篮桥见面。	He had called her at her office, and they agreed to meet on Tilan Bridge.
当时她还忍不住哭了起来，并且当众说，如果我好不了要照顾我一辈子。	She even cried in public and declared that if I didn't recover, she would take care of me all her life.
两人上车，换车，然后就到了片厂。	To get to the studio they had to take the trolley and make a transfer.
王琦瑶不太说话，问她什么也有些答非所问，程先生不免扫兴，一个人坐在一边看报纸。	Wang Qiyao was not very talkative and answered Mr. Cheng's questions absentmindedly, leaving her guest rather down. Mr. Cheng sat off to one side and read the newspaper.
王琦瑶知道他们弄错了，将护士当作医师了。	They had mistaken her for a doctor.
晚上我没去听会，在屋里收拾东西，准备逃上山去。	But I didn't go to the meeting that evening. I packed my stuff, ready to flee back to the mountains.
看了婴儿，口口声声直说像王琦瑶，心里都在猜那另一半像谁。	Each one went on about how much the baby looked like Wang Qiyao, all the while wondering who the father was.
罗小四又到十五队问陈清扬可曾见过我，还闪烁其词地暗示她和我有过不正当的关系。	Luo Xiaosi then made his way to the fifteenth team, asking Chen Qingyang whether she had seen me, and hinting in a roundabout sort of way that she'd had an indecent relationship with me.
海老公将信将疑，冷笑道：“你如没喝汤，干么一按左边肚子，又会痛得这么厉害？”	The old eunuch wasn't sure whether to believe him or not. 'If you didn't drink the soup, ' he said, 'how is it that it hurt so badly when you pressed your belly?'
袭人那怕他得十分儿，也不恼他，原该的。	Aroma, of course, you'd expect to get more than anyone else. I don't blame her at all. In fact, I think it's owing to her.
秋风苍凉，阳光很旺，瓦蓝的天上游荡着一朵朵丰满的白云，高粱上滑动着一朵朵丰满白云的紫红色影子。	The autumn winds are cold and bleak, the sun's rays intense. White clouds, full and round, float in the tile-blue sky, casting full round purple shadows onto the sorghum fields below.
片厂里闹哄哄的，货码头似的，“开麦拉”“OK”的叫声此起彼伏，唯有那女人是个不动弹，千年万载不醒的样子。	The film studio was a hubbub of activity, like a busy dockyard. With all the cries of 'Camera' and 'OK' rising and falling amid the clamor, the woman was the only thing that did not move, as if she had fallen into an eternal slumber.
黛玉登时急了，撂下脸来说道：“你说什么？”	Dai-yu was dreadfully offended by them. In an instant the smile had vanished from her face. 'What was that you said?'
正说着，可巧凤姐在窗外过，都听到耳内，便隔着窗户说道：“大正月里，怎么了?	Just at that moment Xi-feng happened to be passing by outside, and hearing what she said, shouted back at her through the window: 'What sort of language is that to be using in the middle of the New Year holiday?
大批士兵开始从山坡上冲向河岸，汪淼很惊奇附近究竟在什么时候什么地方隐蔽了这么多人。	Soldiers rushed toward the shore from the slope. Wang was surprised to find so many men hidden nearby.
韦小宝道：“你一提，我便记起了，所以高兴。”	'I'm just happy about. . . about remembering it the minute you mentioned it again.'
经过井台时，看见了军代表，他正在刷牙。	As I passed the village well, I saw the military deputy at the well stand brushing his teeth.
她还有点躲避吴佩珍，像有什么底细被她窥伺了去似的。	She started to avoid Wu Peizhen, as if the latter had stolen some secret from her.
众人上来看时，已经咽了气了，身子底下冰凉精湿遗下了一大滩精。	When they examined him more closely they found that his breathing had already stopped and that underneath his body there was a large, wet, icy patch of recently ejaculated semen.
但是她说，我们在干的事算不上罪孽。	But she said, what we're doing now doesn't count as a sin.
每一口鼎上铸了九州的名字和山川图形，后世为天下之主的，便保有九鼎。	Each of these bronze cauldrons had the name of one of the nine provinces on it and a map showing the mountains and rivers of that province. In later times whoever became master of the Empire automatically became the guardian of these cauldrons.
程先生忍着她奚落，可蒋丽莉就此打住，并没再往下说什么。	Mr. Cheng took her ridicule in stride and Jiang Lili stopped herself from saying more.
“那还是钱的问题。	'It all comes down to money.
问过小工后，你父亲回答：五分。	After asking the boy, he told Einstein: five cents.
奶奶从撕肝裂胆的兴奋中挣扎出来，模模糊糊地看到了自己的眼前出现了一条崭新的、同时是陌生的、铺满了红高粱钻石般籽粒的宽广大道，道路两侧的沟渠里，蓄留着澄澈如气的高粱酒浆。	Struggling to wrench free of this unknown passion, she had a dim vision of a new and unfamiliar broad road stretching out ahead of her, covered with sorghum seeds as red as rubies, the ditches on either side filled with crystal-clear sorghum wine.
它总是有一点按捺不住的兴奋，跃跃然的，有点絮叨的。	The door seems always to be in a state of uncontrollable, even garrulous, excitement.
那时她心里也有很多奢望。	At that moment her heart, too, was full of extravagant hope.
都云作者痴，谁解其中味!	All men call the author fool; None his secret message hears.
但是也给我添了很多麻烦。	However, this got me into a lot more trouble.
如今不能指出某人，所以陈清扬偷汉不能成立。	Since at present no one could point out such a man, the proposition that Chen Qingyang had slept with another man was untenable.
“你害怕星星掉下来吗？”	'You're afraid of the stars falling down?'
程先生甚至有一种奇怪的兴奋心情，好像新生的不是那婴儿，而是他自己。	In fact, Mr. Cheng was struck with a peculiar happiness; it was as if he, and not the child, had been given a new lease on life.
蛙类们兴奋地鸣叫着，迎接着即将来临的盛夏的暴雨。	Frogs and toads croaked in loud welcome to the oncoming summer rainstorm.
“什么都没有。” 叶哲泰说，像回答任何一个小女孩儿的问题那样，他转头慈祥地看着她，铁高帽和已受的重伤，使他这动作很艰难。	'Nothing,' Ye said, the way he would answer a question from any curious young person. He turned to look at the girl kindly. With his injuries and the tall iron hat, the motion was very difficult.
她知道那年轻轿夫正在注视着自己。	She knew that the young sedan bearer was watching her.
正说着，宝钗走来，说：“史大妹妹等你呢。”	Just then Bao-chai came hurrying in. 'Cousin Shi's waiting for you!'
吴佩珍瞪大了眼睛，不相信地看着她，王琦瑶被她看得不自在，就转回头说：我的意思是不该不给人家面子，这是你们家的亲戚呀！	Wu Peizhen's eyes widened in disbelief. Wang Qiyao felt a bit uncomfortable under her stare. Turning her face away, she said, 'What I mean is, you should show the guy some respect. After all, he's your cousin!'
你竟带了小板儿先去找陪房周大爷，要见了他，就有些意思了。	You take young Ban-er with you and ask for Old Zhou that stayed in service with your lady after she married. If you tell them you've come to see him, it will give you an excuse for the visit.
我有点怀疑她要晾我，但是我没说出来，径直走到后山上去抽烟。	I suspected that she might want to stand me up, but I didn't say anything. I went straight to the other side of the mountain and smoked.
所以我交待道：那天夜里，我们离开了后山，向做案现场进发。	So I confessed: That night, we left the back slope and returned to the scene of the crime.
奶奶在轿内，被这温柔感动，她非常想撩开轿帘，看看这个生着一只温暖的年轻大手的轿夫是个什么样的人。	She was so moved by the gentleness of the deed she could barely keep from throwing back the curtain to see what sort of man this bearer was, with his large, warm, youthful hand.
你在我肚脐上亲了一下吧？	You kissed my belly button, right?
赶上队伍了，父亲的身前身后响着踢踢踏踏的脚步声和粗重的呼吸。	As they caught up with the troops, Father heard the tramping of feet and some coarse breathing fore and aft.
大汉奸、小汉奸在云南，动不了他们的手，一离云南，便有机可乘了。	As long as the Old Traitor and the Little Traitor are in Yunnan, they can't touch them; but as soon as one of them leaves Yunnan, it gives them an opportunity.
说的宝玉一笑，湘云忙回身跑了。	Bao-yu could not help laughing; but Xiang-yun had already turned and fled.
还没走进那条小河岔，两个景颇族孩子就从里面一路打出来，烂泥横飞，我身上也挨了好几块，直到我拎住他们的耳朵，他们才罢手。	Before I reached the small fork of the rivers, two Jingpo boys ran up, hurling mud at one another all the way. Some landed on me. They stopped fighting only after I picked them up by their ears.
回到床上睡倒，想起明天“小白龙”韦小宝打得小玄子大叫“投降”，十分得意。	Trinket went back to bed, and fell asleep dreaming of Misty surrendering to the Little White Dragon!
“小心火烛”的摇铃声声，是平安里的一点小心呵护，有些温爱的。	The ringing bells make their evening rounds, reminding residents to watch their cooking fires, evincing a trace of warmth and goodwill from those who live there.
譬如这件东西不好，横竖那一件好，就舍了这件取那件。	Can't you see that if there is something you don't like, there must be something else you do like, and that all you've got to do is leave the one and go after the other?
我和她在饭店里重温旧情，说到这类话题，她就有恐慌之感。	When we relived our old days in the hotel, she seemed nervous about such subjects.
大家都说存在的东西一定不存在，这是因为眼前的一切都是骗局。 大家都说不存在的东西一定存在，比如王二，假如他不存在，这个名字是从哪里来的？	What everyone thinks exists must not exist, because everything before our eyes is illusion; what everyone doesn't think exists must exist, like Wang Er. If he didn't exist, where did his name come from?
万事开创在我，骇人听闻，物议沸然，又何足论？”	All innovation lies ultimately in the hands of the individual. We must be bold enough to ignore the censures of the vulgar and the loud outcries of those to whom every novelty is shocking.'
“轮到我们了吗？”	'Is it our turn?'
只听勒农啧啧赞美道： “哇！	I heard Le Long click his tongue admiringly, 'Wow!
村子里的火光像狐狸尾巴一样耸动着，时不时响起木头烧焦的爆裂声，焦糊味道从村子里弥散出来，与高粱地里的血腥味掺合一起，形成一种令人窒息的怪味。	Lights from fires in the village curled like foxtails, as occasional pops, like the crackling of dry wood, momentarily filled the air with a charred odour that merged with the stifling stench of blood.
王琦瑶只是摇头，心里也知道不要这个对不起，就什么也没了。	Wang Qiyao kept shaking her head, aware that if she did not accept the apology, she would have nothing at all.
瘦小女人流着泪长叹一声，“后来回城了，可回来又怎么样呢？	The thin woman sighed, tears in her eyes. 'Then, later, we returned to the city. But so what if we're back?
特别是那船十分巨大，以现在试验中的次声波武器的功率，如果对整个‘审判日’号同时攻击，最多也就是让里面的晕恶心而已。”	Also, the ship is very large. At the power level available to current experimental prototypes, the most that a full assault on Judgment Day could do is to make the people inside feel dizzy and nauseous.'
他坏笑着转向译员，一名一脸不自在的漂亮女中尉，“回吧同志，意思到了就行。”	He gave a sly grin to the translator, a female first lieutenant who looked unhappy with his language. 'Not easy to translate, eh, comrade? Just get the approximate meaning across.'
那文士甚是喜欢，点了点头，在纸上画了一只鼎的图形，道：“古人煮食，不用灶头锅子，用这样三只脚的鼎，下面烧柴，捉到了鹿，就在鼎里煮来吃。	The scholar nodded, pleased with his young son's astuteness. He drew a picture of a cauldron on the sheet of paper. 'In olden times they didn't use a cooking-pot on the stove to cook their food in, they used a three-legged cauldron like this and lit a fire underneath it. When they caught a deer they put it in a cauldron to seethe it.
一些琐细的夜声沉淀下去，他就像被空气溶解了似的，思无所思，想无所想。	The scattered sounds of the night seemed to have sunk down to earth, while he himself had dissolved into the air, empty of thoughts and desires.
在清平集上观摩了一阵，她得到了要扮就扮阿伧的结论。	After conducting an observation for a while in Qingping market, she drew the conclusion that if she wanted to disguise herself like someone, she would rather be an Ahcang woman.
英语这种外来语后来打散在这城市的民间口语中，内中的含义也是打散了重来，随着时间的演进，意思也越来越远。	As the lingo of the city incorporated bits and pieces of foreign languages, words became dismembered and, with the passage of time, grew increasingly distant from their original meanings.
就因为这种态度，别人都不相信我。 我虽然把交朋友当成终身的事业，所交到的朋友不过陈清扬等二三人而已。	Because of this attitude of mine, no one really believed me, which explained why I made no more than a couple of friends, including Chen Qingyang, even though I took it on as a lifelong cause.
这就是所谓的真实。	This is the so-called truth.
人多了，难免鱼目混珠，掺和进来一些不正经的人，就会有不愉快的事情发生，比如撬窃的案子。	As the numbers started to build up, it was inevitable that some questionable individuals would weasel their way in, and sometimes unpleasant things, such as thefts, would happen.
低垂的天幕，阴沉地注视着银灰色的高粱脸庞，一道压一道的血红闪电在高粱头上裂开，雷声强大，震动耳膜。	The low curtain of heaven stared darkly at the silvery faces of sorghum, over which streaks of blood-red lightning crackled, releasing ear-splitting explosions of thunder.
我和陈清扬侧躺在蓝粘土上，那时天色将晚，风也有点凉。	When Chen Qingyang and I lay on our sides on the blue clay, it was getting dark and the wind had cooled a bit.
“我是说不知道，如果上帝是指宇宙之外的超意识的话，我不知道它是不是存在；正反两方面，科学都没给出确实的证据。”	'I'm saying I don't know. If by 'God' you mean some kind of superconsciousness outside the universe, I don't know if it exists or not. Science has given no evidence either way.'
韦小宝颤声道：“不…… 不是！	'No. No, he's not.
韦小宝又惊又喜，说道：“妙计，妙计！	'Brilliant!' said Trinket, his surprise now mixed with pleasure.
绍琳指着丈夫喝道，她显然不习惯于这种场合，尽量拔高自己的声音，却连其中的颤抖也放大了，“你没有想到我会站出来揭发你，批判你吧！？	She was clearly unused to such theater, and though she tried to make her voice louder, the effort magnified the tremors in it. 'You didn't think I would stand up and expose you, criticize you?
海老公道：“你去赢温家哥儿俩的银子，他们输了，便借给他们，借得越多越好。	'Listen: you're to win money from the Wen brothers. Then you're to lend them money, the more the better.
父亲从地上捡起手枪，插进腰里，扯扯如醉如痴的爷爷，说：“爹，回家去吧。 爹，回家去吧……”	Father bent over and picked it up, stuck it into his belt, and tugged on Granddad, who stood as though drunk or paralysed. 'Let's go home, Dad, let's go home. . . .'
韦小宝道：“赢了十几两银子，不过…… 不过……”	'I won a dozen taels,' replied Trinket. 'But I—'
她的美不是戏剧性的，而是生活化，是走在马路上有人注目，照相馆橱窗里的美。	It was real, not dramatic—the kind of beauty that people noticed on the street and photo studios displayed in their front windows.
周瑞家的听了连忙起身，催着刘老老：“快走，这一下来就只吃饭是个空儿，咱们先等着去。	Zhou Rui's wife hurriedly rose to her feet and urged Grannie Liu to do likewise. 'Quick! After she comes out from there she'll be free for a few minutes while she has her meal. We must try and catch her then.
“咳什么？”	'Who said you could cough?'
这丫鬟忙转身回避，心下自想：“这人生的这样雄壮，却又这样褴褛，我家并无这样贫窘亲友。	The maid hastened to remove herself from this male presence; but as she went she thought to herself, 'What a fine-looking man! But so shabby! The family hasn't got any friends or relations as poor as that.
两人又扭打起来。	The two of them set to again.
暖过来后，小和尚又直立起来。	After I recovered my warmth, my little Buddha stood up again.
“能将前面的曲线打印出来吗？” 汪淼问。	'Can you print out the waveform?' Wang asked.
小郡主全身打个冷战，仍不睁开眼睛。	A shudder ran through her whole body, but she still would not open her eyes.
“别急！”	'Take it easy!
雨村吟罢，因又思及平生抱负，苦未逢时，乃又搔首对天长叹，复高吟一联云：	Having delivered himself of this masterpiece, Yu-cun's thoughts began to run on his unrealized ambitions and, after much head-scratching and many heavenward glances accompanied by heavy sighs, he produced the following couplet, reciting it in a loud, ringing voice which caught the ear of Shi-yin, who chanced at that moment to be arriving:
只是一件不足：年过半百，膝下无儿，只有一女乳名英莲，年方三岁。	The flaw was that, although already past fifty, he had no son, only a little girl, just two years old, whose name was Ying-lian.
小红道：“胡说！	'Oh, nonsense!' said Crimson.
这反对实践出真知，恰恰是违背马克思主义对自然界的认知原则的。”	This is against the idea that the truth emerges from experience. It's counter to the principles of how Marxism seeks to understand nature.'
我曾对高密东北乡极端热爱，曾经对高密东北乡极端仇恨，长大后努力学习马克思主义，我终于悟到：高密东北乡无疑是地球上最美丽最丑陋、最超脱最世俗、最圣洁最龌龊、最英雄好汉最王八蛋、最能喝酒最能爱的地方。	I had learned to love Northeast Gaomi Township with all my heart, and to hate it with unbridled fury. I didn't realise until I'd grown up that Northeast Gaomi Township is easily the most beautiful and most repulsive, most unusual and most common, most sacred and most corrupt, most heroic and most bastardly, hardest-drinking and hardest-loving place in the world.
那些薄片看上去像布片般柔软，很快变形，形成了一堆复杂的形状，让人无法想象它曾是一艘巨轮。	The slices looked as soft as cloth, and rapidly deformed into complicated shapes impossible to imagine as having once belonged to a ship.
一会儿就出太阳。	The sun is coming out soon.
程先生虽是有些招架不住，可也心领她的好意，并不见怪。	Although Mr. Cheng was a bit overwhelmed by her warmth, he realized she had nothing but the best intentions.
父亲和爷爷都被这一声巨响震荡得胸闷气噎。	The loud crash nearly crushed the breath out of Father and Granddad.
老子砍草皮打的坝，哪个鸡巴敢说不牢？”	I built the dam with sod. What prick has the nerve to say it wasn't strong enough?'
“这可真是…… 传奇啊！”	'That is ... a fantastical legend.'
许多事情她本以为忘了，不料竟是一提就起，连同那些琐琐碎碎的细节，点点滴滴的，全都汇流成河。	There were many things that Wang Qiyao thought she had completely forgotten, but as soon as she got started, all of those tiny bits and fragments of detail came together to make a flowing river of memories.
那时节万籁无声，田野上刮着白色的风。	It was a surpassingly still moment, and the white wind was gently blowing across the field.
这么一来，那就难以取胜，扭打几回合，韦小宝终于给他骑在背上，再也翻不了身。	As a result he eventually came off the loser again, with Misty sitting on his back, and no hope of throwing him off.
他不知自己是死是活，活动了一下胳膊腿，能动弹，但似乎都不灵便。	Not sure if he was dead or alive, he tried moving his arms and legs. They were working, but barely.
我想，千里姻缘一线牵，一生的情缘，都是天凑地合，是毫无挑剔的真理。	I've always believed that marriages are made in heaven and that people fated to be together are connected by an invisible thread.
袭人先只道李嬷嬷不过因他躺着生气，少不得分辩说：“病了，才出汗，蒙着头，原没看见你老人家。”	Aroma at first thought that Nannie Li's anger arose solely on account of her failure to get up and welcome her, and had started to excuse herself on that supposition: 'I'm ill, Mrs Li. I've just been sweating. I didn't see you because I had my head under the clothes.'
等我抽完了一支烟，她抱住我。 我们俩在草地上干那件事。	The moment I had the cigarette finished, she embraced me and we did it on the grass.
“教授，我想您将成为新世纪的盖拉德，我们期待着您的‘巴拿马运河’建成。	'Professor, I think you will be the Gaillard of this new era. We're waiting for your new Panama Canal to be built.
温泉可以治旧伤。	The thermal springs might cure your old injury.
那朋友住一幢侨汇房的十三楼，是他国外亲戚买下后托他照管的。	The man lived on the thirteenth floor of a building that he was managing for the owner, a relative of his who was living overseas.
王琦瑶呢？ 耳朵里听进的严家的事，落到心里便成了自己的事，是听自己的心声。	As for Wang Qiyao, she listened with her heart and eventually made all business concerning the Yan family her own.
我和陈清扬商量以后，决定交待男女关系问题。	After discussing it, Chen Qingyang and I decided to confess our love affair.
王琦瑶白他一眼，说：谁同你唱“楼台会”！	Wang Qiyao rolled her eyes. 'Oh no, I'm not singing Rendezvous at the Pavilion with you again!'
小玄子哼了一声，突然间双肋向后力撞。 韦小宝胸口肋骨痛得便欲折断，大叫一声，仰天倒下。	Misty gave a little grunt. Then suddenly he drove his elbows hard into Trinket's ribs, and Trinket went reeling over on to the floor, screaming with pain, certain that he must have several broken bones.
韦小宝不懂“净身”是什么意思，只觉他今晚话说的语气说不出的古怪，轻声道：“公公，很晚了，你这就睡罢。”	Trinket had no idea what 'purified' meant; but everything the old eunuch was saying tonight seemed to have something odd about it. 'Goong-goong,' he said, 'it's very late. Shouldn't you be getting some sleep?'
他披上蓑衣，走出高粱地，路上小风疾驰，高粱嚓嚓作声。	He draped his rain cape over his shoulders and walked out of the field as a rapid breeze on the road caused the sorghum to rustle noisily.
他自作主张的，喊她们一个叫“珍珍”，一个叫“瑶瑶”，好像她们成了他戏里的角色似的。	He had given them the nicknames 'Zhen Zhen' and 'Yao Yao,' as if they were characters in his latest movie.
